Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,Kimberly DERRICK POSITION,Kimberly DERRICK LAP TIME,Kimberly DERRICK ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Tamara FREDERICK POSITION,Tamara FREDERICK LAP TIME,Tamara FREDERICK ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME
1,8.38,8.38,3,8.64,8.64,4,8.80,8.80,5,8.82,8.82,6,9.13,9.13,2,8.50,8.50
1,11.28,19.66,4,11.24,19.88,2,10.87,19.67,5,11.20,20.02,6,10.99,20.12,3,11.26,19.76
2,10.66,30.32,4,10.64,30.52,1,10.55,30.22,5,10.63,30.65,6,10.58,30.70,3,10.66,30.42
2,10.61,40.93,4,10.62,41.14,1,10.61,40.83,5,10.62,41.27,6,10.72,41.42,3,10.62,41.04
1,10.45,51.38,4,10.50,51.64,2,10.62,51.45,5,10.50,51.77,6,10.47,51.89,3,10.50,51.54
1,10.31,1:01.69,4,10.37,1:02.01,2,10.36,1:01.81,5,10.39,1:02.16,6,10.40,1:02.29,3,10.37,1:01.91
1,10.40,1:12.09,4,10.41,1:12.42,2,10.40,1:12.21,5,10.43,1:12.59,6,10.45,1:12.74,3,10.39,1:12.30
1,10.37,1:22.46,4,10.36,1:22.78,2,10.34,1:22.55,5,10.34,1:22.93,6,10.32,1:23.06,3,10.35,1:22.65
1,10.38,1:32.84,4,10.39,1:33.17,2,10.29,1:32.84,5,10.42,1:33.35,6,10.49,1:33.55,3,10.37,1:33.02
2,10.30,1:43.14,4,10.22,1:43.39,1,10.15,1:42.99,5,10.36,1:43.71,6,10.83,1:44.38,3,10.27,1:43.29
1,10.20,1:53.34,4,10.32,1:53.71,2,10.36,1:53.35,5,10.88,1:54.59,6,11.65,1:56.03,3,10.12,1:53.41
1,10.48,2:03.82,3,10.47,2:04.18,2,10.66,2:04.01,4,11.42,2:06.01,5,12.69,2:08.72,6,31.51,2:24.92
1,10.83,2:14.65,2,10.54,2:14.72,3,10.85,2:14.86,4,11.90,2:17.91,5,12.84,2:21.56,6,17.74,2:42.66
1,10.80,2:25.446,2,10.85,2:25.569,3,11.22,2:26.079,4,12.24,2:30.149,5,13.01,2:34.566,6,14.02,2:56.674
