Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Torsten KROEGER POSITION,Torsten KROEGER LAP TIME,Torsten KROEGER ELAPSED TIME,OLAH Bence POSITION,OLAH Bence LAP TIME,OLAH Bence ELAPSED TIME,Kirath SINGH POSITION,Kirath SINGH LAP TIME,Kirath SINGH ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME
1,6.85,6.85,5,13.38,13.38,2,7.21,7.21,4,7.62,7.62,3,7.31,7.31
1,9.39,16.24,5,9.63,23.01,3,9.28,16.49,4,10.20,17.82,2,9.18,16.49
2,8.99,25.23,5,9.32,32.33,3,9.04,25.53,4,9.78,27.60,1,8.74,25.23
2,9.13,34.36,5,9.65,41.98,3,9.23,34.76,4,10.12,37.72,1,8.96,34.19
2,9.28,43.632,5,10.06,52.034,3,9.53,44.281,4,10.57,48.281,1,9.10,43.281
