Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,LIN Meng POSITION,LIN Meng LAP TIME,LIN Meng ELAPSED TIME,Karyna HRYSCHANKA POSITION,Karyna HRYSCHANKA LAP TIME,Karyna HRYSCHANKA ELAPSED TIME,Lenka ZAHUMENSKA POSITION,Lenka ZAHUMENSKA LAP TIME,Lenka ZAHUMENSKA ELAPSED TIME,Dariya VOLOKITINA POSITION,Dariya VOLOKITINA LAP TIME,Dariya VOLOKITINA ELAPSED TIME
3,13.96,13.96,2,13.88,13.88,4,14.28,14.28,5,14.40,14.40,1,13.77,13.77
1,10.07,24.03,3,10.39,24.27,5,10.36,24.64,4,10.00,24.40,2,10.39,24.16
1,10.56,34.59,3,10.60,34.87,5,10.61,35.25,4,10.57,34.97,2,10.54,34.70
1,10.66,45.25,2,10.50,45.37,5,10.52,45.77,4,10.58,45.55,3,10.68,45.38
2,10.14,55.39,1,9.74,55.11,5,10.91,56.68,4,10.06,55.61,3,10.11,55.49
2,9.90,1:05.29,1,9.76,1:04.87,5,11.35,1:08.03,4,9.96,1:05.57,3,9.90,1:05.39
3,10.25,1:15.54,1,10.18,1:15.05,5,12.27,1:20.30,4,9.98,1:15.55,2,10.11,1:15.50
4,10.67,1:26.21,1,10.14,1:25.19,5,12.39,1:32.69,3,10.17,1:25.72,2,10.01,1:25.51
4,11.26,1:37.466,1,10.25,1:35.431,5,12.67,1:45.354,3,10.11,1:35.828,2,10.24,1:35.744
