Yoshiharu ARINO POSITION,Yoshiharu ARINO LAP TIME,Yoshiharu ARINO ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME,Guillaume MATHIEU POSITION,Guillaume MATHIEU LAP TIME,Guillaume MATHIEU ELAPSED TIME,Leon FLACK POSITION,Leon FLACK LAP TIME,Leon FLACK ELAPSED TIME,Jarmil HRUZA POSITION,Jarmil HRUZA LAP TIME,Jarmil HRUZA ELAPSED TIME
5,8.666,8.666,1,8.474,8.474,6,8.918,8.918,3,8.656,8.656,4,8.658,8.658,2,8.649,8.649
3,11.527,20.193,4,11.930,20.403,5,11.515,20.432,2,11.491,20.147,1,11.463,20.120,6,11.925,20.574
4,10.991,31.184,5,10.864,31.266,6,10.900,31.332,1,10.705,30.851,2,10.864,30.984,3,10.521,31.094
5,11.116,42.300,1,10.412,41.678,6,11.113,42.445,2,10.981,41.832,3,11.031,42.014,4,11.145,42.238
5,10.210,52.509,1,10.509,52.187,6,10.101,52.545,2,10.434,52.266,4,10.443,52.457,3,10.046,52.284
1,9.503,1:02.012,2,9.975,1:02.162,5,10.021,1:02.565,3,9.918,1:02.183,6,10.133,1:02.589,4,10.156,1:02.440
4,10.092,1:12.103,3,9.924,1:12.085,5,9.677,1:12.242,1,9.816,1:11.999,6,9.768,1:12.357,2,9.631,1:12.071
3,9.738,1:21.840,4,9.797,1:21.882,5,9.849,1:22.091,2,9.652,1:21.650,6,9.777,1:22.133,1,9.573,1:21.643
4,9.619,1:31.459,2,9.493,1:31.374,6,9.667,1:31.757,1,9.611,1:31.261,5,9.589,1:31.722,3,9.785,1:31.428
1,9.448,1:40.906,2,9.560,1:40.934,5,9.426,1:41.183,3,9.688,1:40.949,6,9.667,1:41.389,4,9.623,1:41.050
1,9.222,1:50.128,2,9.301,1:50.234,5,9.522,1:50.704,3,9.534,1:50.483,6,9.395,1:50.783,4,9.488,1:50.538
2,9.616,1:59.743,1,9.428,1:59.661,6,9.645,2:00.349,4,9.713,2:00.195,5,9.556,2:00.339,3,9.568,2:00.105
2,9.496,2:09.239,1,9.334,2:08.995,5,9.936,2:10.285,4,9.906,2:10.100,6,10.025,2:10.363,3,9.829,2:09.933
2,10.08,2:19.316,1,9.74,2:18.734,5,10.11,2:20.394,4,10.16,2:20.260,6,10.53,2:20.887,3,10.28,2:20.205
