AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,Shaoang LIU POSITION,Shaoang LIU LAP TIME,Shaoang LIU ELAPSED TIME,Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME
1,6.64,6.64,2,6.83,,3,7.03,7.03,4,7.17,7.17,5,7.33,7.33
1,8.82,15.46,2,8.79,,3,8.77,15.80,4,8.77,15.94,5,8.74,16.07
1,8.28,23.74,2,8.24,,3,8.17,23.97,4,8.16,24.10,5,8.29,24.36
1,8.52,32.26,4,8.85,,2,8.37,32.34,3,8.41,32.51,5,8.40,32.76
2,8.83,41.085,4,8.97,,1,8.72,41.053,3,8.83,41.324,4,9.03,41.777
