J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,Benjamin STUTHRIDGE POSITION,Benjamin STUTHRIDGE LAP TIME,Benjamin STUTHRIDGE ELAPSED TIME,Wim de DEYNE POSITION,Wim de DEYNE LAP TIME,Wim de DEYNE ELAPSED TIME,Thomas BAUER POSITION,Thomas BAUER LAP TIME,Thomas BAUER ELAPSED TIME
1,14.206,14.206,2,14.568,14.568,3,14.675,14.675,4,14.843,14.843
1,11.598,25.803,3,11.663,26.231,2,11.338,26.013,4,11.617,26.459
2,11.205,37.008,4,11.094,37.324,1,10.884,36.897,3,10.652,37.110
1,10.964,47.971,4,11.059,48.383,2,11.123,48.019,3,11.079,48.188
1,10.702,58.672,4,10.656,59.038,3,10.753,58.772,2,10.501,58.689
2,10.135,1:08.806,4,10.388,1:09.426,1,9.907,1:08.679,3,10.203,1:08.892
2,9.391,1:18.197,4,10.367,1:19.793,1,9.447,1:18.125,3,9.440,1:18.331
2,9.298,1:27.494,4,10.685,1:30.477,1,9.329,1:27.453,3,9.343,1:27.674
2,9.76,1:37.245,4,11.16,1:41.637,1,9.70,1:37.150,3,9.68,1:37.346
