CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,Jumpei YOSHIZAWA POSITION,Jumpei YOSHIZAWA LAP TIME,Jumpei YOSHIZAWA ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Sergey PRANKEVICH POSITION,Sergey PRANKEVICH LAP TIME,Sergey PRANKEVICH ELAPSED TIME
4,8.099,8.099,6,8.412,8.412,2,7.998,7.998,1,7.938,7.938,3,8.075,8.075,5,8.174,8.174
5,11.845,19.943,6,11.938,20.349,2,11.741,19.738,1,11.687,19.625,4,11.853,19.927,3,11.753,19.927
5,10.722,30.664,6,10.631,30.980,2,10.804,30.542,1,10.792,30.417,4,10.643,30.570,3,10.634,30.560
5,10.663,41.327,6,10.631,41.611,2,10.609,41.151,1,10.573,40.990,4,10.742,41.311,3,10.720,41.280
4,10.676,52.003,6,10.667,52.277,2,10.719,51.870,1,10.704,51.693,5,10.815,52.126,3,10.652,51.931
4,10.939,1:02.941,6,10.693,1:02.970,3,10.888,1:02.758,1,10.916,1:02.609,2,10.623,1:02.748,5,11.017,1:02.947
2,10.724,1:13.665,6,11.015,1:13.985,4,11.109,1:13.866,1,11.038,1:13.647,3,11.036,1:13.784,5,11.011,1:13.958
1,9.742,1:23.406,6,9.952,1:23.936,4,9.941,1:23.806,2,9.902,1:23.548,5,10.063,1:23.846,3,9.664,1:23.622
1,9.688,1:33.093,5,9.571,1:33.507,6,9.770,1:33.576,2,9.608,1:33.155,4,9.491,1:33.337,3,9.632,1:33.254
3,9.863,1:42.956,5,9.725,1:43.231,6,10.035,1:43.610,4,9.816,1:42.971,1,9.531,1:42.867,2,9.674,1:42.928
3,9.936,1:52.891,4,9.780,1:53.011,5,10.667,1:54.276,1,9.601,1:52.572,2,9.769,1:52.636,6,11.510,1:54.437
3,9.782,2:02.673,4,10.188,2:03.199,5,11.782,2:06.058,1,9.696,2:02.268,2,9.842,2:02.478,6,23.521,2:17.957
3,10.105,2:12.778,4,10.299,2:13.497,5,13.051,2:19.109,1,9.860,2:12.127,2,9.992,2:12.470,6,16.130,2:34.087
3,10.90,2:23.676,4,11.09,2:24.579,5,15.22,2:34.329,1,10.02,2:22.145,2,10.57,2:23.034,0,,DNF
