KIM Ji Yoo POSITION,KIM Ji Yoo LAP TIME,KIM Ji Yoo ELAPSED TIME,Marina LUKANOVA POSITION,Marina LUKANOVA LAP TIME,Marina LUKANOVA ELAPSED TIME,Anna SEIDEL POSITION,Anna SEIDEL LAP TIME,Anna SEIDEL ELAPSED TIME,SUN Yingying POSITION,SUN Yingying LAP TIME,SUN Yingying ELAPSED TIME
2,7.82,7.82,4,8.45,8.45,1,7.59,7.59,3,7.99,7.99
2,9.75,17.57,4,10.69,19.14,1,9.90,17.49,3,9.88,17.87
1,9.26,26.83,4,10.19,29.33,2,9.42,26.91,3,9.28,27.15
1,9.53,36.36,4,10.52,39.85,2,9.52,36.43,3,9.41,36.56
1,9.89,46.246,4,11.18,51.028,2,9.87,46.298,3,9.82,46.376
