ANIKEJ Rafal POSITION,ANIKEJ Rafal LAP TIME,ANIKEJ Rafal ELAPSED TIME,TREACY Farrell POSITION,TREACY Farrell LAP TIME,TREACY Farrell ELAPSED TIME,SHAMUKHANOV Yerkebulan POSITION,SHAMUKHANOV Yerkebulan LAP TIME,SHAMUKHANOV Yerkebulan ELAPSED TIME,Alex VARNYU POSITION,Alex VARNYU LAP TIME,Alex VARNYU ELAPSED TIME
1,6.85,6.85,2,7.06,7.06,3,7.19,7.19,4,7.46,7.46
1,9.01,15.86,2,8.98,16.04,3,8.94,16.13,4,8.98,16.44
2,8.61,24.47,1,8.40,24.44,3,8.50,24.63,4,8.58,25.02
3,8.85,33.32,1,8.65,33.09,2,8.59,33.22,4,8.74,33.76
3,9.12,42.428,1,8.85,41.94,2,8.98,42.20,4,8.95,42.698
