Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,CHOI Ji Hyun POSITION,CHOI Ji Hyun LAP TIME,CHOI Ji Hyun ELAPSED TIME,Gabrielle WILLIAMSON-DERRAUGH POSITION,Gabrielle WILLIAMSON-DERRAUGH LAP TIME,Gabrielle WILLIAMSON-DERRAUGH ELAPSED TIME,Julie JUNG POSITION,Julie JUNG LAP TIME,Julie JUNG ELAPSED TIME
1,7.23,7.23,3,7.51,7.51,2,7.35,7.35,4,7.61,7.61
1,9.41,16.64,4,9.74,17.25,2,9.39,16.74,3,9.55,17.16
1,9.03,25.67,4,9.33,26.58,2,8.99,25.73,3,9.23,26.39
1,9.30,34.97,4,9.38,35.96,2,9.24,34.97,3,9.37,35.76
2,9.44,44.401,4,9.59,45.546,1,9.41,44.376,3,9.71,45.462
