LIM Yong Jin POSITION,LIM Yong Jin LAP TIME,LIM Yong Jin ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,XU Hongzhi POSITION,XU Hongzhi LAP TIME,XU Hongzhi ELAPSED TIME
4,15.21,15.21,3,15.12,15.12,1,14.87,14.87,2,14.98,14.98
4,12.27,27.48,3,12.25,27.37,1,12.14,27.01,2,12.22,27.20
4,11.50,38.98,3,11.52,38.89,1,11.59,38.60,2,11.54,38.74
4,10.22,49.20,3,10.20,49.09,2,10.43,49.03,1,10.18,48.92
3,9.09,58.29,1,9.02,58.11,4,9.37,58.40,2,9.26,58.18
3,9.13,1:07.42,1,9.10,1:07.21,4,9.11,1:07.51,2,9.12,1:07.30
3,8.95,1:16.37,1,8.99,1:16.20,4,9.03,1:16.54,2,8.99,1:16.29
3,8.86,1:25.23,1,8.95,1:25.15,4,9.00,1:25.54,2,8.93,1:25.22
0,,PHOTO,1,8.86,1:34.01,4,9.12,1:34.642,3,,1:34.111
