Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Marina GEORGIEVA-NIKOLOVA POSITION,Marina GEORGIEVA-NIKOLOVA LAP TIME,Marina GEORGIEVA-NIKOLOVA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME
1,13.37,13.37,2,13.44,13.44,3,13.74,13.74,4,13.81,13.81
1,10.52,23.89,2,10.56,24.00,3,10.40,24.15,4,10.36,24.18
2,10.39,34.29,1,10.21,34.21,3,10.24,34.39,4,10.40,34.59
1,10.28,44.57,2,10.39,44.61,3,10.38,44.77,4,10.32,44.92
1,10.47,55.04,2,10.50,55.11,3,10.51,55.29,4,10.51,55.43
2,10.35,1:05.40,1,10.07,1:05.19,3,10.11,1:05.41,4,10.13,1:05.56
4,10.44,1:15.84,1,10.05,1:15.24,2,9.91,1:15.32,3,9.82,1:15.39
4,10.44,1:26.29,2,9.91,1:25.16,1,9.69,1:25.02,3,9.93,1:25.32
4,10.92,1:37.202,3,10.52,1:35.677,1,9.84,1:34.854,2,9.74,1:35.051
