AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Jose CAVALLI POSITION,Jose CAVALLI LAP TIME,Jose CAVALLI ELAPSED TIME,Tsvetan TSANKOV POSITION,Tsvetan TSANKOV LAP TIME,Tsvetan TSANKOV ELAPSED TIME,KIM Joon Chun POSITION,KIM Joon Chun LAP TIME,KIM Joon Chun ELAPSED TIME
2,7.05,7.05,1,6.88,6.88,4,7.34,7.34,5,7.48,7.48,3,7.18,7.18
2,8.86,15.91,1,8.81,15.69,4,9.08,16.42,5,9.20,16.68,3,8.86,16.04
2,8.35,24.26,1,8.37,24.06,4,8.66,25.08,5,8.75,25.43,3,8.30,24.34
2,8.69,32.95,1,8.56,32.62,4,8.90,33.98,5,8.87,34.30,3,8.77,33.11
0,,PHOTO,1,8.72,41.34,4,9.28,43.26,5,9.14,43.44,0,,PHOTO
