CONFORTOLA Yuri POSITION,CONFORTOLA Yuri LAP TIME,CONFORTOLA Yuri ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME
2,7.05,7.05,1,6.85,6.85,3,7.06,7.06,4,7.28,7.28
3,9.12,16.17,1,8.82,15.67,2,8.98,16.04,4,9.03,16.31
3,8.50,24.67,1,8.58,24.25,2,8.48,24.52,4,8.60,24.91
3,8.60,33.27,1,8.64,32.89,2,8.53,33.05,4,8.72,33.63
3,8.85,42.112,1,8.79,41.677,2,8.74,41.783,4,8.92,42.548
