Safiya VLASOVA POSITION,Safiya VLASOVA LAP TIME,Safiya VLASOVA ELAPSED TIME,Lucia PERETTI POSITION,Lucia PERETTI LAP TIME,Lucia PERETTI ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,Charlotte GILMARTIN POSITION,Charlotte GILMARTIN LAP TIME,Charlotte GILMARTIN ELAPSED TIME,PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME
1,10.65,10.65,6,11.30,11.30,4,10.96,10.96,5,11.14,11.14,3,10.94,10.94,2,10.80,10.80
2,15.80,26.45,6,15.57,26.87,4,15.66,26.62,5,15.64,26.78,1,15.42,26.36,3,15.77,26.57
3,15.08,41.53,6,15.04,41.91,1,14.73,41.35,5,14.99,41.77,2,15.04,41.40,4,15.05,41.62
3,14.23,55.76,6,14.30,56.21,1,14.12,55.47,5,14.27,56.04,2,14.26,55.66,4,14.27,55.89
3,14.39,1:10.15,6,14.39,1:10.60,1,14.37,1:09.84,5,14.37,1:10.41,2,14.34,1:10.00,4,14.37,1:10.26
1,13.26,1:23.41,6,13.44,1:24.04,2,13.59,1:23.43,5,13.42,1:23.83,3,13.60,1:23.60,4,13.45,1:23.71
1,11.60,1:35.01,4,11.21,1:35.25,2,11.63,1:35.06,6,11.61,1:35.44,3,11.63,1:35.23,5,11.61,1:35.32
2,10.71,1:45.72,1,10.07,1:45.32,4,10.92,1:45.98,6,10.91,1:46.35,5,10.97,1:46.20,3,10.61,1:45.93
4,10.12,1:55.84,1,9.92,1:55.24,5,10.22,1:56.20,6,9.86,1:56.21,3,9.59,1:55.79,2,9.57,1:55.50
4,10.02,2:05.86,1,9.92,2:05.16,6,10.84,2:07.04,5,9.87,2:06.08,3,9.62,2:05.41,2,9.78,2:05.28
4,10.37,2:16.23,1,9.81,2:14.97,6,10.58,2:17.62,5,10.17,2:16.25,3,9.79,2:15.20,2,9.79,2:15.07
5,10.89,2:27.12,1,9.80,2:24.77,6,10.90,2:28.52,4,9.91,2:26.16,3,9.78,2:24.98,2,9.80,2:24.87
5,11.48,2:38.60,2,9.97,2:34.74,6,11.32,2:39.84,4,10.06,2:36.22,3,9.90,2:34.88,1,9.81,2:34.68
5,11.99,2:50.589,3,10.09,2:44.821,6,11.70,2:51.539,4,10.30,2:46.518,2,9.65,2:44.524,1,9.79,2:44.467
