Celine LECOMPERE POSITION,Celine LECOMPERE LAP TIME,Celine LECOMPERE ELAPSED TIME,Mai SHINKAI POSITION,Mai SHINKAI LAP TIME,Mai SHINKAI ELAPSED TIME,SHIN Sae-Bom POSITION,SHIN Sae-Bom LAP TIME,SHIN Sae-Bom ELAPSED TIME,Annita van DOORN POSITION,Annita van DOORN LAP TIME,Annita van DOORN ELAPSED TIME,Gergana PATSOVA POSITION,Gergana PATSOVA LAP TIME,Gergana PATSOVA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME
1,8.270,8.270,2,8.470,8.470,4,8.780,8.780,3,8.590,8.590,6,9.050,9.050,5,8.800,8.800
1,11.730,20.000,4,11.790,20.270,6,11.670,20.450,3,11.600,20.190,5,11.280,20.330,2,11.340,20.140
2,11.550,31.550,3,11.470,31.750,6,11.540,31.990,1,11.150,31.350,5,11.490,31.820,4,11.620,31.770
2,11.750,43.300,4,11.730,43.480,6,11.730,43.720,1,11.870,43.220,5,11.890,43.720,3,11.600,43.370
2,11.650,54.960,1,11.430,54.910,6,11.570,55.300,4,11.940,55.170,5,11.540,55.260,3,11.630,55.010
2,11.340,1:06.310,3,11.430,1:06.340,5,11.300,1:06.600,1,11.080,1:06.250,6,11.340,1:06.600,4,11.390,1:06.410
3,10.870,1:17.190,6,11.140,1:17.490,4,10.770,1:17.380,2,10.900,1:17.160,5,10.860,1:17.470,1,10.700,1:17.110
4,10.460,1:27.660,6,10.280,1:27.770,3,10.070,1:27.450,2,10.220,1:27.380,5,10.230,1:27.710,1,10.240,1:27.360
5,10.310,1:37.970,6,10.350,1:38.130,2,10.310,1:37.760,3,10.470,1:37.860,4,10.260,1:37.970,1,10.240,1:37.600
4,10.360,1:48.340,6,10.230,1:48.370,2,10.290,1:48.060,3,10.270,1:48.130,5,10.380,1:48.360,1,10.340,1:47.940
5,10.120,1:58.460,6,10.260,1:58.630,1,9.750,1:57.810,3,9.980,1:58.110,4,9.960,1:58.320,2,10.090,1:58.030
5,10.050,2:08.520,4,9.680,2:08.310,1,9.750,2:07.560,2,9.710,2:07.820,6,10.370,2:08.700,3,9.810,2:07.850
4,10.270,2:18.790,5,10.620,2:18.930,1,9.670,2:17.240,3,10.170,2:18.000,6,10.630,2:19.340,2,9.770,2:17.620
5,10.640,2:29.430,5,10.570,2:29.500,1,10.340,2:27.590,3,9.900,2:27.900,4,8.600,2:27.950,2,10.210,2:27.840
