Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,SEO Yi Ra POSITION,SEO Yi Ra LAP TIME,SEO Yi Ra ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Semen ELISTRATOV POSITION,Semen ELISTRATOV LAP TIME,Semen ELISTRATOV ELAPSED TIME,Dennis VISSER POSITION,Dennis VISSER LAP TIME,Dennis VISSER ELAPSED TIME,GEORGIEV Dimitar POSITION,GEORGIEV Dimitar LAP TIME,GEORGIEV Dimitar ELAPSED TIME,Joshua CHEETHAM POSITION,Joshua CHEETHAM LAP TIME,Joshua CHEETHAM ELAPSED TIME,Lucas NG POSITION,Lucas NG LAP TIME,Lucas NG ELAPSED TIME
2,9.10,9.10,5,9.38,9.38,6,9.62,9.62,8,9.84,9.84,3,9.26,9.26,1,9.07,9.07,7,9.73,9.73,4,9.30,9.30
2,12.63,21.73,5,12.76,22.14,7,12.60,22.22,6,12.37,22.21,3,12.57,21.83,1,12.57,21.64,8,12.59,22.32,4,12.66,21.96
2,11.94,33.67,6,11.83,33.97,8,11.98,34.20,7,11.87,34.08,3,11.96,33.79,1,11.93,33.57,3,11.47,33.79,5,11.91,33.87
3,11.06,44.73,7,11.38,45.35,6,10.92,45.12,5,10.93,45.01,4,11.07,44.86,2,11.09,44.66,1,10.70,44.49,8,11.49,45.36
1,10.14,54.87,3,9.71,55.06,7,10.25,55.37,4,10.06,55.07,4,10.21,55.07,6,10.44,55.10,2,10.47,54.96,8,10.25,55.61
2,9.58,1:04.45,1,9.31,1:04.37,6,9.47,1:04.84,3,9.45,1:04.52,5,9.63,1:04.70,7,10.00,1:05.10,4,9.57,1:04.53,8,9.82,1:05.43
2,9.45,1:13.90,3,9.63,1:14.00,6,9.42,1:14.26,1,9.30,1:13.82,4,9.42,1:14.12,7,9.80,1:14.90,5,9.71,1:14.24,8,9.99,1:15.42
2,9.81,1:23.71,3,9.83,1:23.83,6,9.92,1:24.18,1,9.79,1:23.61,4,9.80,1:23.92,7,9.83,1:24.73,5,9.80,1:24.04,8,10.36,1:25.78
1,9.53,1:33.24,3,9.56,1:33.39,6,9.71,1:33.89,2,9.69,1:33.30,4,9.63,1:33.55,7,9.98,1:34.71,5,9.73,1:33.77,8,10.64,1:36.42
2,9.61,1:42.85,3,9.53,1:42.92,6,9.51,1:43.40,1,9.44,1:42.74,4,9.49,1:43.04,7,10.41,1:45.12,5,9.46,1:43.23,8,10.62,1:47.04
2,9.44,1:52.29,3,9.44,1:52.36,6,9.76,1:53.16,1,9.45,1:52.19,4,9.50,1:52.54,7,10.77,1:55.89,5,9.56,1:52.79,8,11.10,1:58.14
2,9.32,2:01.61,3,9.32,2:01.68,6,10.48,2:03.64,1,9.32,2:01.51,4,9.39,2:01.93,7,11.16,2:07.05,5,9.88,2:02.67,8,11.57,2:09.71
2,9.18,2:10.79,3,9.21,2:10.89,6,11.77,2:15.41,1,9.17,2:10.68,4,9.52,2:11.45,7,11.50,2:18.55,5,10.31,2:12.98,8,12.65,2:22.36
2,9.32,2:20.11,3,9.28,2:20.17,6,12.59,2:28.00,1,9.27,2:19.95,4,9.87,2:21.32,7,11.80,2:30.35,5,10.75,2:23.73,8,11.89,2:34.25
