de VRIES Rianne POSITION,de VRIES Rianne LAP TIME,de VRIES Rianne ELAPSED TIME,KONYA Zsofia POSITION,KONYA Zsofia LAP TIME,KONYA Zsofia ELAPSED TIME,LEE Yu Bin POSITION,LEE Yu Bin LAP TIME,LEE Yu Bin ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME,Tereza PFEIFEROVA POSITION,Tereza PFEIFEROVA LAP TIME,Tereza PFEIFEROVA ELAPSED TIME
1,7.10,7.10,3,7.45,7.45,4,7.60,7.60,2,7.24,7.24,5,7.72,7.72
1,9.30,16.40,3,9.39,16.84,4,9.25,16.85,2,9.18,16.42,5,9.32,17.04
2,8.85,25.25,3,8.90,25.74,4,9.06,25.91,1,8.80,25.22,5,8.99,26.03
2,8.90,34.15,4,9.14,34.88,3,8.95,34.86,1,8.73,33.95,5,9.06,35.09
2,9.03,43.18,4,9.37,44.253,3,8.86,43.724,1,9.11,43.06,5,9.28,44.371
