CHANG Yin-Cheng POSITION,CHANG Yin-Cheng LAP TIME,CHANG Yin-Cheng ELAPSED TIME,Jacob JANSSON POSITION,Jacob JANSSON LAP TIME,Jacob JANSSON ELAPSED TIME,Bogdan SIMONENKO POSITION,Bogdan SIMONENKO LAP TIME,Bogdan SIMONENKO ELAPSED TIME,Marc-Olivier LEMAY POSITION,Marc-Olivier LEMAY LAP TIME,Marc-Olivier LEMAY ELAPSED TIME,Andras SZIKLASI POSITION,Andras SZIKLASI LAP TIME,Andras SZIKLASI ELAPSED TIME,Attila SZASZ POSITION,Attila SZASZ LAP TIME,Attila SZASZ ELAPSED TIME,Alex BRYANT POSITION,Alex BRYANT LAP TIME,Alex BRYANT ELAPSED TIME
5,11.84,11.84,3,11.57,11.57,4,11.65,11.65,7,12.14,12.14,6,12.04,12.04,1,11.42,11.42,2,11.49,11.49
6,15.81,27.65,3,15.85,27.42,4,15.78,27.43,1,15.18,27.32,7,15.80,27.84,2,15.95,27.37,5,16.10,27.59
5,12.10,39.75,4,12.22,39.64,2,11.96,39.39,3,12.20,39.52,6,12.13,39.97,1,11.90,39.27,7,12.40,39.99
6,12.43,52.18,4,12.41,52.05,2,12.44,51.83,3,12.41,51.93,5,12.18,52.15,1,12.46,51.73,7,12.36,52.35
6,11.68,1:03.86,4,11.71,1:03.76,5,11.94,1:03.77,3,11.68,1:03.61,7,11.79,1:03.94,2,11.77,1:03.50,1,11.05,1:03.40
7,10.40,1:14.26,4,10.29,1:14.05,6,10.44,1:14.21,3,10.38,1:13.99,5,10.25,1:14.19,2,10.45,1:13.95,1,10.45,1:13.85
7,10.46,1:24.72,4,10.38,1:24.43,6,10.43,1:24.64,2,10.28,1:24.27,3,10.17,1:24.36,5,10.58,1:24.53,1,10.31,1:24.16
7,10.34,1:35.06,1,9.87,1:34.30,6,10.31,1:34.95,3,10.36,1:34.63,4,10.37,1:34.73,5,10.27,1:34.80,2,10.35,1:34.51
7,9.78,1:44.84,1,9.75,1:44.05,6,9.83,1:44.78,3,9.77,1:44.40,4,9.79,1:44.52,5,9.82,1:44.62,2,9.76,1:44.27
7,9.85,1:54.69,1,9.62,1:53.67,6,9.74,1:54.52,3,9.46,1:53.86,4,9.43,1:53.95,5,9.49,1:54.11,2,9.48,1:53.75
7,9.84,2:04.53,3,9.75,2:03.42,6,9.83,2:04.35,1,9.37,2:03.23,4,9.48,2:03.43,5,9.55,2:03.66,2,9.49,2:03.24
7,10.49,2:15.02,4,9.85,2:13.27,6,10.45,2:14.80,1,9.23,2:12.46,3,9.51,2:12.94,5,9.69,2:13.35,2,9.61,2:12.85
7,10.94,2:25.96,4,10.14,2:23.41,6,10.92,2:25.72,1,9.48,2:21.94,3,9.73,2:22.67,5,10.10,2:23.45,2,9.69,2:22.54
7,11.42,2:37.355,4,10.57,2:33.959,6,11.32,2:37.019,1,9.81,2:31.733,3,9.97,2:32.619,5,10.99,2:34.419,2,10.01,2:32.531
