Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Mathieu TURCOTTE POSITION,Mathieu TURCOTTE LAP TIME,Mathieu TURCOTTE ELAPSED TIME,Junji ITO POSITION,Junji ITO LAP TIME,Junji ITO ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME
4,13.527,13.527,3,13.425,13.425,2,13.424,13.424,1,13.412,13.412
4,10.035,23.562,2,10.043,23.468,1,9.910,23.334,3,10.111,23.523
3,9.410,32.972,2,9.504,32.972,1,9.529,32.862,4,9.571,33.094
3,9.434,42.405,2,9.354,42.325,1,9.362,42.224,4,9.434,42.527
3,9.439,51.844,2,9.482,51.807,1,9.489,51.713,4,9.428,51.955
4,9.836,1:01.679,1,9.434,1:01.240,2,9.549,1:01.261,3,9.455,1:01.409
3,8.862,1:10.540,1,9.067,1:10.307,2,9.223,1:10.484,4,9.341,1:10.750
1,9.050,1:19.590,2,9.349,1:19.655,3,9.471,1:19.954,4,9.329,1:20.079
2,9.74,1:29.324,1,9.59,1:29.245,4,9.86,1:29.813,3,9.49,1:29.567
