HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,SIN da Woon POSITION,SIN da Woon LAP TIME,SIN da Woon ELAPSED TIME,Valentyn DANILOVSKYI POSITION,Valentyn DANILOVSKYI LAP TIME,Valentyn DANILOVSKYI ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
4,14.00,14.00,2,13.90,13.90,1,13.82,13.82,3,13.91,13.91
4,10.39,24.39,2,10.29,24.19,3,10.41,24.23,1,10.23,24.14
3,9.53,33.92,1,9.63,33.82,4,9.78,34.01,2,9.75,33.89
2,9.65,43.57,1,9.64,43.46,3,9.67,43.68,4,9.99,43.88
2,9.51,53.08,1,9.49,52.95,3,9.50,53.18,4,9.52,53.40
2,9.26,1:02.34,1,9.27,1:02.22,3,9.30,1:02.48,4,9.40,1:02.80
2,9.12,1:11.46,1,9.09,1:11.31,3,9.20,1:11.68,4,9.55,1:12.35
2,9.09,1:20.55,1,9.12,1:20.43,3,9.45,1:21.13,4,9.79,1:22.14
2,9.16,1:29.703,1,9.20,1:29.629,3,9.85,1:30.973,4,10.05,1:32.187
