Ryosuke SAKAZUME POSITION,Ryosuke SAKAZUME LAP TIME,Ryosuke SAKAZUME ELAPSED TIME,KNEGT Sjinkie POSITION,KNEGT Sjinkie LAP TIME,KNEGT Sjinkie ELAPSED TIME,LIANG Wenhao POSITION,LIANG Wenhao LAP TIME,LIANG Wenhao ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME
2,12.74,12.74,3,12.90,12.90,1,12.71,12.71,4,13.04,13.04
4,10.01,22.75,2,9.75,22.65,1,9.84,22.55,3,9.69,22.73
4,9.80,32.55,2,9.71,32.36,1,9.74,32.29,3,9.74,32.47
4,9.61,42.16,2,9.58,41.94,1,9.55,41.84,3,9.59,42.06
4,9.26,51.42,2,9.25,51.19,1,9.28,51.12,3,9.25,51.31
4,9.06,1:00.48,2,9.07,1:00.26,1,9.03,1:00.15,3,9.05,1:00.36
4,8.96,1:09.44,2,8.98,1:09.24,1,9.02,1:09.17,3,8.97,1:09.33
4,8.98,1:18.42,2,8.99,1:18.23,1,8.98,1:18.15,3,8.93,1:18.26
3,9.37,1:27.785,2,9.25,1:27.481,1,9.90,1:27.150,0,,PEN
