Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Andrej VALACH POSITION,Andrej VALACH LAP TIME,Andrej VALACH ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,Paul HERRMANN POSITION,Paul HERRMANN LAP TIME,Paul HERRMANN ELAPSED TIME
3,13.27,13.27,0,,,1,12.94,12.94,2,13.21,13.21
3,9.82,23.09,0,,,1,9.75,22.70,2,9.60,22.82
3,9.37,32.46,0,,,1,9.46,32.16,2,9.62,32.44
2,9.43,41.90,0,,,1,9.57,41.74,3,9.54,41.99
3,9.60,51.50,0,,,2,9.73,51.47,1,9.42,51.41
1,9.55,1:01.06,0,,,2,9.62,1:01.10,3,9.73,1:01.15
2,9.45,1:10.51,0,,,3,9.79,1:10.89,1,9.32,1:10.47
1,9.58,1:20.10,0,,,3,9.96,1:20.86,2,9.64,1:20.12
2,9.89,1:29.989,0,,DNS,3,10.33,1:31.183,1,9.71,1:29.822
