LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,Paul STANLEY POSITION,Paul STANLEY LAP TIME,Paul STANLEY ELAPSED TIME,Jean Charles MATTEI POSITION,Jean Charles MATTEI LAP TIME,Jean Charles MATTEI ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME
3,13.169,13.169,2,13.123,13.123,1,12.978,12.978,4,13.195,13.195
4,9.736,22.905,2,9.694,22.816,1,9.595,22.573,3,9.657,22.851
3,9.353,32.257,4,9.562,32.378,1,9.501,32.074,2,9.357,32.208
3,9.250,41.506,4,9.184,41.562,1,9.337,41.410,2,9.203,41.411
3,9.107,50.613,4,9.240,50.801,1,9.149,50.559,2,9.155,50.566
4,9.062,59.674,2,8.853,59.654,1,8.967,59.525,3,9.092,59.658
3,9.042,1:08.715,4,9.410,1:09.064,1,9.145,1:08.670,2,9.035,1:08.693
1,9.092,1:17.807,4,9.571,1:18.634,3,9.635,1:18.305,2,9.147,1:17.839
1,9.25,1:27.048,4,9.88,1:28.511,3,9.71,1:28.009,2,9.35,1:27.184
