Jorien ter MORS POSITION,Jorien ter MORS LAP TIME,Jorien ter MORS ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,LIU Qiuhong POSITION,LIU Qiuhong LAP TIME,LIU Qiuhong ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
0,,,0,,,0,,,0,,
4,13.800,13.800,3,13.730,13.730,1,13.500,13.500,2,13.730,13.730
3,10.510,24.320,4,10.890,24.630,2,10.780,24.290,1,10.530,24.260
3,9.990,34.310,4,10.130,34.770,2,9.760,34.050,1,9.620,33.880
2,9.960,44.280,4,9.900,44.670,1,10.200,44.250,3,10.410,44.290
3,10.020,54.300,4,9.960,54.630,2,9.910,54.170,1,9.590,53.880
3,10.440,1:04.750,4,10.320,1:04.950,1,9.940,1:04.110,2,10.400,1:04.290
4,10.600,1:15.350,3,10.320,1:15.280,2,10.130,1:14.250,1,9.590,1:13.880
4,10.970,1:26.330,3,10.420,1:25.700,2,10.040,1:24.290,1,10.180,1:24.070
4,13.470,1:39.810,3,10.940,1:36.650,1,10.140,1:34.430,2,10.680,1:34.750
