Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,Nicola RODIGARI POSITION,Nicola RODIGARI LAP TIME,Nicola RODIGARI ELAPSED TIME,Andre HARTWIG POSITION,Andre HARTWIG LAP TIME,Andre HARTWIG ELAPSED TIME,Cees JUFFERMANS POSITION,Cees JUFFERMANS LAP TIME,Cees JUFFERMANS ELAPSED TIME
2,6.833,6.833,3,7.112,7.112,1,6.764,6.764,4,7.199,7.199
2,9.458,16.290,3,9.285,16.397,1,9.304,16.068,4,9.349,16.548
2,9.142,25.432,3,9.114,25.510,1,9.151,25.218,4,9.029,25.577
3,9.284,34.716,2,9.205,34.715,1,9.253,34.470,4,9.347,34.923
3,9.44,44.150,2,9.37,44.085,1,9.57,44.031,4,9.27,44.193
