Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,SEJPALOVA-HRUZOVA Michaela POSITION,SEJPALOVA-HRUZOVA Michaela LAP TIME,SEJPALOVA-HRUZOVA Michaela ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,YAKIMOVA Anna POSITION,YAKIMOVA Anna LAP TIME,YAKIMOVA Anna ELAPSED TIME,Arianna FONTANA POSITION,Arianna FONTANA LAP TIME,Arianna FONTANA ELAPSED TIME
1,7.44,7.44,4,7.89,7.89,2,7.52,7.52,5,8.15,8.15,3,7.63,7.63
1,9.54,16.98,4,9.82,17.71,2,9.60,17.12,5,10.20,18.35,3,9.58,17.21
2,9.30,26.28,4,9.44,27.15,3,9.27,26.39,5,9.63,27.98,1,8.99,26.20
2,9.24,35.52,4,9.58,36.73,3,9.23,35.62,5,9.79,37.77,1,9.12,35.32
2,9.45,44.97,4,9.68,46.41,3,9.47,45.09,5,10.05,47.82,1,9.45,44.77
