YANG A Yang POSITION,YANG A Yang LAP TIME,YANG A Yang ELAPSED TIME,YUN Jong Suk POSITION,YUN Jong Suk LAP TIME,YUN Jong Suk ELAPSED TIME,Amanda OVERLAND POSITION,Amanda OVERLAND LAP TIME,Amanda OVERLAND ELAPSED TIME,Stephanie BOUVIER POSITION,Stephanie BOUVIER LAP TIME,Stephanie BOUVIER ELAPSED TIME,Valeriya REZNIK POSITION,Valeriya REZNIK LAP TIME,Valeriya REZNIK ELAPSED TIME
1,13.041,13.041,3,13.370,13.370,4,13.398,13.398,2,13.054,13.054,5,13.754,13.754
1,9.955,22.996,4,9.996,23.366,2,9.621,23.019,3,9.987,23.041,5,9.873,23.627
1,9.395,32.391,4,9.490,32.855,2,9.414,32.433,3,9.569,32.610,5,9.462,33.089
2,9.494,41.884,4,9.417,42.272,1,9.338,41.770,3,9.555,42.164,5,9.427,42.515
1,9.465,51.349,4,9.739,52.010,2,9.583,51.353,3,9.289,51.453,5,9.682,52.197
1,9.650,1:00.999,4,10.231,1:02.240,3,9.696,1:01.048,2,9.554,1:01.006,5,10.084,1:02.280
2,9.766,1:10.764,3,8.703,1:10.943,1,9.701,1:10.749,4,10.195,1:11.200,5,10.685,1:12.964
1,9.743,1:20.507,4,13.154,1:24.096,3,10.246,1:20.995,2,9.506,1:20.706,5,11.268,1:24.232
1,10.18,1:30.678,4,11.25,1:35.340,2,9.83,1:30.823,3,10.80,1:31.497,5,11.27,1:35.494
