Katia ZINI POSITION,Katia ZINI LAP TIME,Katia ZINI ELAPSED TIME,Biba SAKURAI POSITION,Biba SAKURAI LAP TIME,Biba SAKURAI ELAPSED TIME,Maaike VOS POSITION,Maaike VOS LAP TIME,Maaike VOS ELAPSED TIME,Ranya EZZI POSITION,Ranya EZZI LAP TIME,Ranya EZZI ELAPSED TIME,Julia RIEDEL POSITION,Julia RIEDEL LAP TIME,Julia RIEDEL ELAPSED TIME,Alex STANLEY POSITION,Alex STANLEY LAP TIME,Alex STANLEY ELAPSED TIME
2,8.62,8.62,1,8.45,8.45,4,8.68,8.68,5,8.69,8.69,3,8.62,8.62,6,8.77,8.77
5,11.89,20.51,2,11.81,20.26,3,11.81,20.49,4,11.80,20.49,1,11.52,20.15,6,11.73,20.51
6,11.59,32.11,3,11.60,31.86,2,11.25,31.75,4,11.44,31.93,1,11.50,31.65,5,11.42,31.93
6,10.88,42.99,3,10.80,42.67,2,10.58,42.33,5,11.00,42.93,4,11.04,42.69,1,10.29,42.23
6,10.61,53.60,4,10.90,53.57,3,11.02,53.36,5,10.65,53.58,2,10.64,53.33,1,11.05,53.28
5,11.53,1:05.14,6,12.75,1:06.32,1,11.27,1:04.63,4,11.39,1:04.98,2,11.35,1:04.69,3,11.49,1:04.78
4,10.95,1:16.09,1,9.48,1:15.81,2,11.32,1:15.96,3,11.05,1:16.03,5,11.41,1:16.10,6,11.32,1:16.11
1,10.42,1:26.52,2,10.76,1:26.57,3,10.66,1:26.63,6,11.27,1:27.31,5,10.86,1:26.97,4,10.69,1:26.80
2,10.73,1:37.25,1,10.42,1:37.00,3,10.67,1:37.30,6,10.41,1:37.72,5,10.52,1:37.49,4,10.52,1:37.32
2,10.65,1:47.91,1,10.85,1:47.85,3,10.69,1:47.99,6,10.68,1:48.40,5,10.65,1:48.15,4,10.81,1:48.14
1,10.49,1:58.41,2,10.57,1:58.43,3,10.47,1:58.47,6,10.53,1:58.94,4,10.44,1:58.59,5,10.66,1:58.81
2,10.29,2:08.70,1,10.22,2:08.66,3,10.38,2:08.85,6,10.56,2:09.50,4,10.27,2:08.87,5,10.63,2:09.44
2,10.11,2:18.81,1,9.98,2:18.65,3,10.28,2:19.13,5,10.11,2:19.62,4,10.37,2:19.24,6,11.18,2:20.63
2,10.45,2:29.251,1,10.32,2:28.966,3,10.23,2:29.360,5,10.08,2:29.692,4,10.30,2:29.537,6,12.60,2:33.230
