CHOI Eun-Kyung POSITION,CHOI Eun-Kyung LAP TIME,CHOI Eun-Kyung ELAPSED TIME,Tatiana BORODULINA POSITION,Tatiana BORODULINA LAP TIME,Tatiana BORODULINA ELAPSED TIME,ZHU Mi Lei POSITION,ZHU Mi Lei LAP TIME,ZHU Mi Lei ELAPSED TIME,Amelie GOULET-NADON POSITION,Amelie GOULET-NADON LAP TIME,Amelie GOULET-NADON ELAPSED TIME
4,7.638,7.638,2,7.376,7.376,1,7.290,7.290,3,7.461,7.461
4,9.428,17.065,1,9.616,16.992,2,9.730,17.019,3,9.559,17.020
2,9.364,26.428,3,9.498,26.490,1,9.402,26.421,4,9.480,26.499
1,9.359,35.787,3,9.424,35.913,2,9.458,35.878,4,9.429,35.928
1,9.36,45.138,4,9.81,45.723,3,9.61,45.479,2,9.36,45.286
