KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,TAO Jiaying POSITION,TAO Jiaying LAP TIME,TAO Jiaying ELAPSED TIME,THOMSON Kathryn POSITION,THOMSON Kathryn LAP TIME,THOMSON Kathryn ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,Deanna LOCKETT POSITION,Deanna LOCKETT LAP TIME,Deanna LOCKETT ELAPSED TIME
1,12.93,12.93,2,13.21,13.21,3,13.31,,5,13.79,13.79,4,13.65,13.65
1,10.01,22.94,2,9.81,23.02,3,9.83,,5,9.56,23.35,4,9.61,23.26
2,9.92,32.86,1,9.76,32.78,3,9.79,,5,9.80,33.15,4,9.77,33.03
2,10.07,42.93,1,10.06,42.84,4,10.10,,5,10.01,43.16,3,9.97,43.00
2,10.02,52.95,1,10.03,52.87,5,11.90,,4,10.25,53.41,3,10.16,53.16
2,10.09,1:03.04,1,10.06,1:02.93,5,11.39,,4,9.90,1:03.31,3,9.99,1:03.15
2,9.98,1:13.02,1,10.02,1:12.95,5,11.22,,4,9.97,1:13.28,3,9.99,1:13.14
2,10.08,1:23.10,1,10.10,1:23.05,5,11.43,,4,10.04,1:23.32,3,10.01,1:23.15
2,10.16,1:33.26,1,10.17,1:33.22,5,12.63,,3,10.11,1:33.43,4,10.37,1:33.52
