SIGHEL Pietro POSITION,SIGHEL Pietro LAP TIME,SIGHEL Pietro ELAPSED TIME,Yevgeniy REBIK POSITION,Yevgeniy REBIK LAP TIME,Yevgeniy REBIK ELAPSED TIME,JUNG Hyun Woo (Andy) POSITION,JUNG Hyun Woo (Andy) LAP TIME,JUNG Hyun Woo (Andy) ELAPSED TIME,FAJKUS Radek POSITION,FAJKUS Radek LAP TIME,FAJKUS Radek ELAPSED TIME,LIN Chun-Chieh POSITION,LIN Chun-Chieh LAP TIME,LIN Chun-Chieh ELAPSED TIME,ARADHYA Akash POSITION,ARADHYA Akash LAP TIME,ARADHYA Akash ELAPSED TIME
5,13.49,13.49,1,13.16,13.16,2,13.22,13.22,4,13.43,13.43,3,13.25,13.25,6,13.66,13.66
3,9.95,23.44,2,10.20,23.36,1,10.11,23.33,5,10.14,23.57,4,10.31,23.56,6,10.09,23.75
3,10.05,33.49,2,10.00,33.36,1,9.95,33.28,5,10.17,33.74,4,10.05,33.61,6,10.10,33.85
3,10.01,43.50,2,10.05,43.41,1,10.05,43.33,5,9.99,43.73,4,10.02,43.63,6,10.04,43.89
3,10.20,53.70,2,10.21,53.62,1,10.20,53.53,5,10.21,53.94,4,10.22,53.85,6,10.15,54.04
3,9.81,1:03.51,2,9.87,1:03.49,1,9.84,1:03.37,5,9.79,1:03.73,4,9.85,1:03.70,6,9.91,1:03.95
2,9.23,1:12.74,3,9.40,1:12.89,1,9.18,1:12.55,5,10.13,1:13.86,4,9.50,1:13.20,6,10.07,1:14.02
2,8.91,1:21.65,3,8.94,1:21.83,1,9.06,1:21.61,5,9.63,1:23.49,4,9.38,1:22.58,6,10.36,1:24.38
1,9.06,1:30.71,2,9.13,1:30.967,3,9.56,1:31.173,5,9.43,1:32.923,4,9.63,1:32.211,6,10.85,1:35.230
