KANG Yun-Mi POSITION,KANG Yun-Mi LAP TIME,KANG Yun-Mi ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME,Emilie NADEAU-BENOIT POSITION,Emilie NADEAU-BENOIT LAP TIME,Emilie NADEAU-BENOIT ELAPSED TIME,Myrtille GOLLIN POSITION,Myrtille GOLLIN LAP TIME,Myrtille GOLLIN ELAPSED TIME
4,15.280,15.280,1,14.759,14.759,2,15.082,15.082,3,15.128,15.128
4,11.695,26.975,1,11.472,26.231,3,11.818,26.900,2,11.548,26.676
4,10.647,37.622,1,10.879,37.109,2,10.393,37.293,3,10.794,37.470
3,10.787,48.408,4,11.497,48.606,1,11.056,48.348,2,10.927,48.396
3,10.679,59.087,1,10.202,58.808,4,10.798,59.145,2,10.444,58.840
1,10.087,1:09.173,2,10.387,1:09.195,4,10.792,1:09.937,3,10.387,1:09.227
1,9.790,1:18.962,3,10.160,1:19.354,4,9.888,1:19.825,2,9.973,1:19.200
1,10.256,1:29.218,3,10.376,1:29.730,2,9.823,1:29.647,4,10.704,1:29.903
1,11.05,1:40.266,4,11.34,1:41.061,2,10.75,1:40.397,3,10.97,1:40.873
