Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME,Davide VISCARDI POSITION,Davide VISCARDI LAP TIME,Davide VISCARDI ELAPSED TIME,Bence BERES POSITION,Bence BERES LAP TIME,Bence BERES ELAPSED TIME
3,17.19,17.19,1,16.91,16.91,2,17.07,17.07
3,13.40,30.59,1,13.38,30.29,2,13.42,30.49
3,12.77,43.36,1,12.77,43.06,2,12.70,43.19
3,11.03,54.39,2,11.15,54.21,1,11.01,54.20
3,9.75,1:04.14,2,9.82,1:04.03,1,9.72,1:03.92
3,9.33,1:13.47,2,9.36,1:13.39,1,9.39,1:13.31
2,9.07,1:22.54,3,9.34,1:22.73,1,9.06,1:22.37
2,9.01,1:31.55,3,8.97,1:31.70,1,9.06,1:31.43
3,9.81,1:41.358,2,9.11,1:40.807,1,9.25,1:40.679
