Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,KIM Dagyeom POSITION,KIM Dagyeom LAP TIME,KIM Dagyeom ELAPSED TIME,PIERRE-GILLES Jordan POSITION,PIERRE-GILLES Jordan LAP TIME,PIERRE-GILLES Jordan ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,HOOGERWERF Dylan POSITION,HOOGERWERF Dylan LAP TIME,HOOGERWERF Dylan ELAPSED TIME
2,6.87,6.87,1,6.82,6.82,4,6.91,6.91,3,6.88,6.88,5,7.25,7.25
2,8.94,15.81,1,8.82,15.64,5,13.91,20.82,4,9.15,16.03,3,8.71,15.96
2,8.29,24.10,1,8.32,23.96,5,19.66,40.48,4,8.48,24.51,3,8.34,24.30
1,8.21,32.31,2,8.52,32.48,5,16.13,56.61,4,8.21,32.72,3,8.25,32.55
1,8.51,40.82,2,8.47,40.95,5,13.42,1:10.033,4,8.50,41.224,3,8.43,40.985
