Malcolm THERRIEN POSITION,Malcolm THERRIEN LAP TIME,Malcolm THERRIEN ELAPSED TIME,Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,HU Ze POSITION,HU Ze LAP TIME,HU Ze ELAPSED TIME,Jon ELEY POSITION,Jon ELEY LAP TIME,Jon ELEY ELAPSED TIME
2,13.051,13.051,3,13.144,13.144,4,13.410,13.410,1,12.719,12.719
2,11.039,24.089,3,11.065,24.209,4,10.825,24.235,1,10.968,23.687
3,9.956,34.044,4,10.118,34.326,2,9.608,33.842,1,10.067,33.753
3,9.826,43.870,4,9.640,43.966,2,9.733,43.574,1,9.777,43.530
4,23.405,1:07.274,3,9.402,53.367,2,9.046,52.620,1,9.068,52.597
4,16.196,1:23.469,3,9.338,1:02.705,1,9.543,1:02.162,2,9.858,1:02.455
4,9.686,1:33.155,3,8.965,1:11.670,1,9.281,1:11.443,2,9.157,1:11.611
4,10.362,1:43.516,3,9.920,1:21.589,2,9.704,1:21.146,1,9.409,1:21.020
0,,DQ,3,9.79,1:31.376,1,9.99,1:31.129,2,10.18,1:31.195
