Charle COURNOYER POSITION,Charle COURNOYER LAP TIME,Charle COURNOYER ELAPSED TIME,Daisuke UEMURA POSITION,Daisuke UEMURA LAP TIME,Daisuke UEMURA ELAPSED TIME,Roberto PUKITIS POSITION,Roberto PUKITIS LAP TIME,Roberto PUKITIS ELAPSED TIME,John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME
1,13.13,13.13,2,13.23,13.23,3,13.33,13.33,4,13.44,13.44
1,10.08,23.21,2,10.07,23.30,3,10.08,23.41,4,9.99,23.43
1,9.38,32.59,3,9.45,32.75,4,9.44,32.85,2,9.24,32.67
1,9.26,41.85,3,9.29,42.04,4,9.28,42.13,2,9.26,41.93
1,9.47,51.32,3,9.46,51.50,4,9.45,51.58,2,9.49,51.42
1,9.35,1:00.67,3,9.36,1:00.86,4,9.38,1:00.96,2,9.34,1:00.76
1,9.17,1:09.84,4,9.22,1:10.08,3,9.11,1:10.07,2,9.21,1:09.97
1,9.08,1:18.92,4,9.16,1:19.24,3,9.08,1:19.15,2,9.07,1:19.04
1,9.19,1:28.102,4,9.14,1:28.372,3,9.18,1:28.327,2,9.22,1:28.252
