PROSVIRNOVA Sofia POSITION,PROSVIRNOVA Sofia LAP TIME,PROSVIRNOVA Sofia ELAPSED TIME,Gloria IORIATTI POSITION,Gloria IORIATTI LAP TIME,Gloria IORIATTI ELAPSED TIME,MAZUR Nicole POSITION,MAZUR Nicole LAP TIME,MAZUR Nicole ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,MALISZEWSKA Natalia POSITION,MALISZEWSKA Natalia LAP TIME,MALISZEWSKA Natalia ELAPSED TIME
1,13.19,13.19,4,13.41,13.41,2,13.28,13.28,5,13.56,13.56,3,13.35,13.35
2,10.17,23.36,2,9.95,23.36,1,9.98,23.26,5,10.04,23.60,4,10.08,23.43
2,9.93,33.29,5,10.27,33.63,1,9.92,33.18,4,9.93,33.53,3,9.95,33.38
2,9.76,43.05,5,9.80,43.43,1,9.77,42.95,4,9.79,43.32,3,9.77,43.15
2,9.54,52.59,5,9.52,52.95,1,9.55,52.50,4,9.49,52.81,3,9.51,52.66
1,9.27,1:01.86,5,9.36,1:02.31,3,9.54,1:02.04,4,9.36,1:02.17,2,9.33,1:01.99
1,9.47,1:11.33,5,9.53,1:11.84,4,9.75,1:11.79,3,9.26,1:11.43,2,9.40,1:11.39
2,9.56,1:20.89,4,9.88,1:21.72,5,10.18,1:21.97,1,9.22,1:20.65,2,9.50,1:20.89
3,9.62,1:30.519,4,10.31,1:32.034,5,10.93,1:32.905,1,9.46,1:30.11,2,9.43,1:30.32
