Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Aida POPIOLEK POSITION,Aida POPIOLEK LAP TIME,Aida POPIOLEK ELAPSED TIME,Mariann NAGY POSITION,Mariann NAGY LAP TIME,Mariann NAGY ELAPSED TIME,Kim de DAPPER POSITION,Kim de DAPPER LAP TIME,Kim de DAPPER ELAPSED TIME,Vera ANTANENKA POSITION,Vera ANTANENKA LAP TIME,Vera ANTANENKA ELAPSED TIME
0,,,0,8.829,8.829,0,9.034,9.034,0,8.811,8.811,0,8.807,8.807
0,,1:17.307,0,46.556,55.386,0,11.769,20.803,0,46.704,55.515,0,11.798,20.605
0,10.490,1:27.797,0,10.850,1:06.235,0,11.810,32.613,0,10.971,1:06.486,0,11.760,32.364
0,10.616,1:38.413,0,11.006,1:17.241,0,11.653,44.266,0,10.955,1:17.441,0,11.618,43.983
0,10.466,1:48.879,0,10.649,1:27.890,0,11.220,55.485,0,10.689,1:28.130,0,11.320,55.303
0,20.852,2:09.730,0,10.523,1:38.414,0,10.805,1:06.291,0,10.460,1:38.590,0,10.873,1:06.175
0,10.705,2:20.435,0,10.552,1:48.966,0,11.152,1:17.443,0,10.773,1:49.364,0,11.143,1:17.318
0,11.183,2:31.618,0,10.449,1:59.414,0,10.534,1:27.977,0,10.562,1:59.926,0,10.658,1:27.976
0,,,0,10.775,2:10.189,0,10.653,1:38.629,0,10.685,2:10.611,0,10.606,1:38.583
0,,,0,11.208,2:21.397,0,10.494,1:49.124,0,11.094,2:21.705,0,10.467,1:49.049
0,,,0,10.674,2:32.071,0,10.504,1:59.628,0,13.771,2:35.476,0,10.519,1:59.569
0,,,0,,,0,10.780,2:10.407,0,,,0,10.965,2:10.534
0,,,0,,,0,11.071,2:21.478,0,,,0,11.234,2:21.768
0,,,0,,,0,,,0,,,0,,
