HUNGARY POSITION,HUNGARY LAP TIME,HUNGARY ELAPSED TIME,KOREA POSITION,KOREA LAP TIME,KOREA ELAPSED TIME,CANADA POSITION,CANADA LAP TIME,CANADA ELAPSED TIME,Olympic Athlete from Russia POSITION,Olympic Athlete from Russia LAP TIME,Olympic Athlete from Russia ELAPSED TIME
2,12.28,12.28,3,12.35,12.35,1,12.19,12.19,4,12.60,12.60
2,9.35,21.63,3,9.38,21.73,1,9.31,21.50,4,9.24,21.84
2,9.10,30.73,3,9.08,30.81,1,9.11,30.61,4,9.11,30.95
3,9.43,40.16,4,9.53,40.34,1,9.24,39.85,2,9.08,40.03
3,9.14,49.30,4,10.99,51.33,1,9.05,48.90,2,9.18,49.21
3,9.10,58.40,4,8.83,1:00.16,1,8.91,57.81,2,9.06,58.27
2,8.83,1:07.23,4,8.65,1:08.81,1,8.96,1:06.77,3,8.99,1:07.26
2,8.71,1:15.94,4,8.72,1:17.53,1,8.89,1:15.66,3,8.98,1:16.24
2,8.81,1:24.75,4,8.67,1:26.20,1,8.86,1:24.52,3,8.82,1:25.06
2,8.88,1:33.63,4,8.78,1:34.98,1,8.89,1:33.41,3,8.70,1:33.76
2,8.88,1:42.51,4,8.82,1:43.80,1,8.96,1:42.37,3,8.92,1:42.68
2,8.91,1:51.42,4,8.67,1:52.47,1,8.98,1:51.35,3,8.92,1:51.60
2,9.00,2:00.42,4,8.61,2:01.08,1,8.99,2:00.34,3,8.95,2:00.55
2,8.98,2:09.40,4,8.69,2:09.77,1,8.95,2:09.29,3,8.95,2:09.50
2,9.12,2:18.52,4,9.00,2:18.77,1,8.93,2:18.22,3,9.13,2:18.63
2,9.06,2:27.58,4,8.97,2:27.74,1,9.04,2:27.26,2,8.95,2:27.58
4,9.47,2:37.05,3,9.15,2:36.89,1,9.10,2:36.36,2,9.22,2:36.80
4,9.15,2:46.20,3,9.08,2:45.97,1,9.12,2:45.48,2,9.01,2:45.81
4,8.85,2:55.05,2,8.78,2:54.75,1,9.06,2:54.54,3,9.03,2:54.84
4,8.93,3:03.98,1,8.86,3:03.61,2,9.09,3:03.63,3,9.02,3:03.86
4,8.90,3:12.88,1,8.85,3:12.46,2,8.94,3:12.57,3,8.89,3:12.75
4,9.05,3:21.93,1,8.95,3:21.41,2,8.94,3:21.51,3,8.97,3:21.72
3,10.69,3:32.62,1,9.06,3:30.47,2,9.16,3:30.67,4,21.49,3:43.21
3,9.49,3:42.11,1,9.07,3:39.54,2,9.24,3:39.91,4,10.18,3:53.39
3,9.06,3:51.17,1,9.02,3:48.56,2,9.38,3:49.29,4,9.41,4:02.80
3,9.12,4:00.29,1,8.93,3:57.49,2,9.18,3:58.47,4,9.40,4:12.20
3,9.26,4:09.55,1,8.89,4:06.38,2,9.15,4:07.62,4,9.77,4:21.97
