Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME
1,14.77,14.77
1,10.88,25.65
1,10.40,36.05
1,10.38,46.43
1,10.38,56.81
1,10.35,1:07.17
1,10.40,1:17.57
1,10.53,1:28.10
1,10.12,1:38.219
