XU Moyuan POSITION,XU Moyuan LAP TIME,XU Moyuan ELAPSED TIME,KIKUCHI Moemi POSITION,KIKUCHI Moemi LAP TIME,KIKUCHI Moemi ELAPSED TIME,Kimberly GOETZ POSITION,Kimberly GOETZ LAP TIME,Kimberly GOETZ ELAPSED TIME,SCHULTING Suzanne POSITION,SCHULTING Suzanne LAP TIME,SCHULTING Suzanne ELAPSED TIME,Raya ZAHARIEVA POSITION,Raya ZAHARIEVA LAP TIME,Raya ZAHARIEVA ELAPSED TIME,KONSTANTINOVA Ekaterina POSITION,KONSTANTINOVA Ekaterina LAP TIME,KONSTANTINOVA Ekaterina ELAPSED TIME,SHIM Suk Hee POSITION,SHIM Suk Hee LAP TIME,SHIM Suk Hee ELAPSED TIME,Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME
7,10.64,,3,10.12,10.12,1,9.81,9.81,2,9.90,9.90,5,10.46,10.46,4,10.29,10.29,8,10.80,10.80,6,10.59,10.59
7,12.99,,3,12.96,23.08,4,13.34,23.15,2,13.03,22.93,6,13.03,23.49,5,13.02,23.31,8,13.02,23.82,1,12.30,22.89
7,11.83,,3,11.89,34.97,4,11.90,35.05,2,11.94,34.87,6,11.81,35.30,5,11.88,35.19,8,11.86,35.68,1,11.84,34.73
8,12.08,,4,12.16,47.13,3,11.98,47.03,2,12.13,47.00,7,12.08,47.38,6,12.11,47.30,5,11.56,47.24,1,12.20,46.93
8,10.83,,4,10.70,57.83,5,10.95,57.98,3,10.68,57.68,7,10.85,58.23,6,10.74,58.04,1,10.37,57.61,2,10.74,57.67
8,10.84,,4,10.97,1:08.80,6,10.95,1:08.93,3,10.97,1:08.65,7,10.86,1:09.09,5,10.86,1:08.90,1,10.81,1:08.42,2,10.91,1:08.58
7,10.49,,5,10.38,1:19.18,6,10.54,1:19.47,3,10.38,1:19.03,7,10.61,1:19.70,2,10.10,1:19.00,1,10.55,1:18.97,4,10.59,1:19.17
5,9.74,,8,11.53,1:30.71,6,10.15,1:29.62,3,10.17,1:29.20,7,10.27,1:29.97,1,10.00,1:29.00,2,10.17,1:29.14,4,10.17,1:29.34
5,9.70,,8,10.06,1:40.77,6,9.89,1:39.51,1,9.60,1:38.80,7,10.32,1:40.29,2,9.84,1:38.84,3,9.72,1:38.86,4,9.74,1:39.08
8,27.26,,6,10.18,1:50.95,5,10.28,1:49.79,2,9.52,1:48.32,7,10.69,1:50.98,3,9.66,1:48.50,1,9.44,1:48.30,4,9.55,1:48.63
8,14.02,,6,10.43,2:01.38,5,10.19,1:59.98,2,9.84,1:58.16,7,10.93,2:01.91,3,9.77,1:58.27,1,9.80,1:58.10,4,9.71,1:58.34
8,11.39,,6,11.04,2:12.42,5,10.39,2:10.37,2,9.87,2:08.03,7,11.29,2:13.20,3,9.90,2:08.17,1,9.84,2:07.94,4,9.92,2:08.26
8,10.92,,6,11.23,2:23.65,5,11.18,2:21.55,2,9.80,2:17.83,7,11.76,2:24.96,3,9.76,2:17.93,1,9.77,2:17.71,4,9.81,2:18.07
8,13.61,,6,11.07,2:34.72,5,11.67,2:33.22,2,10.00,2:27.83,7,11.92,2:36.88,0,10.01,2:27.94,1,10.07,2:27.78,0,9.86,2:27.93
