Yui SAKAI POSITION,Yui SAKAI LAP TIME,Yui SAKAI ELAPSED TIME,VIVIANI Elena POSITION,VIVIANI Elena LAP TIME,VIVIANI Elena ELAPSED TIME,KIM Alang POSITION,KIM Alang LAP TIME,KIM Alang ELAPSED TIME,van KERKHOF Yara POSITION,van KERKHOF Yara LAP TIME,van KERKHOF Yara ELAPSED TIME
1,7.45,7.45,4,7.69,7.69,3,7.57,7.57,2,7.51,7.51
1,9.54,16.99,4,9.63,17.32,3,9.67,17.24,2,9.61,17.12
1,9.07,26.06,4,9.05,26.37,3,9.05,26.29,2,9.07,26.19
1,9.16,35.22,4,9.27,35.64,3,9.08,35.37,2,9.08,35.27
3,9.72,44.938,4,9.37,45.004,2,9.46,44.824,1,9.47,44.733
