Guillaume BASTILLE POSITION,Guillaume BASTILLE LAP TIME,Guillaume BASTILLE ELAPSED TIME,Ryan BEDFORD POSITION,Ryan BEDFORD LAP TIME,Ryan BEDFORD ELAPSED TIME,Lachlan HAY POSITION,Lachlan HAY LAP TIME,Lachlan HAY ELAPSED TIME,Fumihiko KAKUBARI POSITION,Fumihiko KAKUBARI LAP TIME,Fumihiko KAKUBARI ELAPSED TIME
1,12.16,12.16,2,12.21,12.21,4,12.49,12.49,3,12.40,12.40
1,9.64,21.80,3,9.70,21.91,4,9.60,22.09,2,9.48,21.88
1,9.46,31.27,2,9.44,31.36,4,9.61,31.70,3,9.63,31.51
1,9.75,41.02,2,9.83,41.20,4,9.63,41.34,3,9.74,41.26
2,9.54,50.57,1,9.27,50.47,4,9.65,50.99,3,9.47,50.73
2,9.75,1:00.32,1,9.42,59.89,3,9.34,1:00.34,4,9.73,1:00.46
2,8.88,1:09.21,1,9.09,1:08.99,3,9.09,1:09.44,4,9.81,1:10.28
2,9.16,1:18.37,1,9.05,1:18.04,3,9.00,1:18.44,4,10.65,1:20.94
2,9.36,1:27.721,1,9.65,1:27.681,0,,DQ,0,,DQ
