Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,Viktor KNOCH POSITION,Viktor KNOCH LAP TIME,Viktor KNOCH ELAPSED TIME,GONG Qiuwen POSITION,GONG Qiuwen LAP TIME,GONG Qiuwen ELAPSED TIME,BREEUWSMA Daan POSITION,BREEUWSMA Daan LAP TIME,BREEUWSMA Daan ELAPSED TIME
1,13.36,13.36,2,13.37,13.37,3,13.50,13.50,4,13.64,13.64
3,10.36,23.72,1,10.15,23.52,2,10.12,23.62,4,10.19,23.83
3,9.80,33.52,1,9.85,33.37,2,9.86,33.48,4,9.70,33.53
2,9.29,42.81,3,9.51,42.88,1,9.25,42.73,4,9.36,42.89
2,9.31,52.12,4,9.83,52.71,1,9.32,52.05,3,9.34,52.23
2,9.43,1:01.55,4,9.24,1:01.95,1,9.49,1:01.54,3,9.50,1:01.73
1,9.01,1:10.56,4,9.28,1:11.23,2,9.14,1:10.68,3,9.08,1:10.81
1,9.05,1:19.61,4,9.18,1:20.41,2,9.03,1:19.71,3,9.10,1:19.91
1,9.42,1:29.026,4,9.77,1:30.174,2,9.40,1:29.107,3,9.28,1:29.184
