Valerie MALTAIS POSITION,Valerie MALTAIS LAP TIME,Valerie MALTAIS ELAPSED TIME,Katerina NOVOTNA POSITION,Katerina NOVOTNA LAP TIME,Katerina NOVOTNA ELAPSED TIME,Nina EVTEEVA POSITION,Nina EVTEEVA LAP TIME,Nina EVTEEVA ELAPSED TIME,FU Tian Yu POSITION,FU Tian Yu LAP TIME,FU Tian Yu ELAPSED TIME,KIM Min-Jung POSITION,KIM Min-Jung LAP TIME,KIM Min-Jung ELAPSED TIME,Allison BAVER POSITION,Allison BAVER LAP TIME,Allison BAVER ELAPSED TIME
1,8.49,8.49,3,8.72,8.72,6,9.23,9.23,2,8.66,8.66,4,8.92,8.92,5,9.11,9.11
1,12.24,20.73,3,12.27,20.99,6,12.02,21.25,2,12.19,20.85,4,12.14,21.07,5,12.00,21.12
2,11.06,31.79,6,11.15,32.15,1,10.40,31.65,4,11.03,31.89,5,10.83,31.90,3,10.75,31.87
6,10.19,41.99,5,9.75,41.91,4,10.24,41.89,3,9.90,41.80,1,9.85,41.75,2,9.88,41.75
6,9.93,51.92,3,9.81,51.72,4,9.86,51.76,5,10.00,51.80,1,9.58,51.34,2,9.70,51.46
6,10.32,1:02.25,3,10.22,1:01.95,5,10.43,1:02.19,4,10.28,1:02.09,2,10.51,1:01.86,1,10.21,1:01.67
5,10.22,1:12.47,4,10.47,1:12.43,6,10.42,1:12.62,3,10.26,1:12.35,2,10.47,1:12.33,1,10.61,1:12.28
2,9.66,1:22.14,5,9.82,1:22.25,6,9.99,1:22.61,4,9.88,1:22.24,3,9.87,1:22.21,1,9.74,1:22.03
2,9.84,1:31.99,5,9.99,1:32.24,6,9.95,1:32.56,4,9.85,1:32.09,3,9.80,1:32.02,1,9.83,1:31.86
3,10.34,1:42.33,5,10.23,1:42.48,6,10.19,1:42.75,4,10.24,1:42.34,2,10.20,1:42.22,1,10.26,1:42.12
3,10.14,1:52.47,5,10.19,1:52.67,6,10.16,1:52.92,4,10.19,1:52.53,2,10.11,1:52.33,1,10.15,1:52.28
3,10.08,2:02.56,5,10.06,2:02.73,6,10.10,2:03.02,4,10.18,2:02.72,2,10.13,2:02.46,1,10.11,2:02.40
3,10.14,2:12.71,5,10.22,2:12.95,6,10.07,2:13.10,4,10.05,2:12.77,2,10.20,2:12.67,1,10.08,2:12.48
4,10.54,2:23.243,5,11.04,2:23.989,3,9.81,2:22.901,0,,DQ,2,10.18,2:22.843,1,10.31,2:22.789
