Gianluigi NOVER POSITION,Gianluigi NOVER LAP TIME,Gianluigi NOVER ELAPSED TIME,Zbigniew BRODKA POSITION,Zbigniew BRODKA LAP TIME,Zbigniew BRODKA ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Remi BEAULIEU POSITION,Remi BEAULIEU LAP TIME,Remi BEAULIEU ELAPSED TIME,MA Yunfeng POSITION,MA Yunfeng LAP TIME,MA Yunfeng ELAPSED TIME,SUNG Si-Bak POSITION,SUNG Si-Bak LAP TIME,SUNG Si-Bak ELAPSED TIME,KURBATOV Evgeniy POSITION,KURBATOV Evgeniy LAP TIME,KURBATOV Evgeniy ELAPSED TIME
0,18.925,18.925,0,,,0,19.143,19.143,0,19.157,19.157,0,19.045,19.045,0,19.750,19.750,0,19.003,19.003
0,15.008,33.934,0,,,0,14.868,34.011,0,15.467,34.623,0,14.935,33.979,0,14.668,34.418,0,15.689,34.692
0,15.290,49.224,0,,,0,15.337,49.348,0,15.187,49.811,0,15.298,49.277,0,15.383,49.800,0,15.364,50.056
0,12.489,1:01.712,0,,,0,13.418,1:02.765,0,13.141,1:02.952,0,13.418,1:02.695,0,13.418,1:03.218,0,14.079,1:04.135
0,9.396,1:11.108,0,,,0,9.972,1:12.738,0,10.017,1:12.969,0,9.939,1:12.634,0,10.237,1:13.455,0,7.388,1:11.523
0,11.078,1:22.187,0,,,0,10.335,1:23.072,0,10.405,1:23.374,0,10.515,1:23.149,0,9.917,1:23.372,0,10.227,1:21.750
0,14.874,1:37.061,0,,,0,13.846,1:36.918,0,14.100,1:37.474,0,14.393,1:37.542,0,13.995,1:37.368,0,13.764,1:35.514
0,16.770,1:53.831,0,,,0,16.623,1:53.541,0,15.442,1:52.916,0,16.508,1:54.050,0,16.853,1:54.221,0,13.909,1:49.422
0,14.752,2:08.583,0,,,0,14.659,2:08.200,0,15.577,2:08.493,0,14.718,2:08.768,0,14.591,2:08.811,0,11.615,2:01.037
0,11.674,2:20.257,0,,,0,12.691,2:20.891,0,11.459,2:19.952,0,11.579,2:20.347,0,11.775,2:20.586,0,10.596,2:11.633
0,11.666,2:31.923,0,,,0,11.070,2:31.961,0,11.778,2:31.730,0,12.001,2:32.348,0,11.732,2:32.318,0,9.247,2:20.879
0,13.253,2:45.176,0,,,0,13.424,2:45.385,0,13.435,2:45.165,0,13.593,2:45.941,0,13.566,2:45.884,0,17.266,2:38.145
0,9.805,2:54.981,0,,,0,12.295,2:57.679,0,12.014,2:57.179,0,12.069,2:58.010,0,11.935,2:57.818,0,14.921,2:53.066
0,9.795,3:04.776,0,,,0,11.198,3:08.877,0,11.461,3:08.641,0,11.309,3:09.319,0,11.318,3:09.136,0,11.985,3:05.051
0,10.035,3:14.811,0,,,0,11.176,3:20.053,0,10.723,3:19.364,0,11.037,3:20.356,0,10.554,3:19.690,0,11.331,3:16.382
0,11.482,3:26.293,0,,,0,9.944,3:29.996,0,9.929,3:29.293,0,10.021,3:30.377,0,10.362,3:30.052,0,12.754,3:29.136
0,14.465,3:40.757,0,,,0,12.287,3:42.284,0,13.286,3:42.578,0,12.929,3:43.306,0,12.807,3:42.859,0,14.172,3:43.308
0,16.165,3:56.923,0,,,0,14.442,3:56.726,0,14.128,3:56.706,0,14.163,3:57.469,0,14.203,3:57.061,0,13.691,3:56.999
0,13.877,4:10.799,0,,,0,14.158,4:10.884,0,13.497,4:10.203,0,13.700,4:11.168,0,13.558,4:10.619,0,14.208,4:11.207
0,12.636,4:23.435,0,,,0,12.484,4:23.368,0,12.889,4:23.091,0,12.441,4:23.609,0,12.626,4:23.246,0,12.753,4:23.960
0,11.000,4:34.435,0,,,0,10.993,4:34.361,0,10.676,4:33.767,0,10.484,4:34.093,0,10.904,4:34.149,0,11.070,4:35.030
0,10.350,4:44.785,0,,,0,10.444,4:44.805,0,10.705,4:44.472,0,10.730,4:44.823,0,10.556,4:44.705,0,10.710,4:45.740
0,10.976,4:55.762,0,,,0,10.873,4:55.678,0,10.777,4:55.249,0,10.712,4:55.534,0,10.936,4:55.642,0,10.762,4:56.502
0,9.748,5:05.509,0,,,0,10.079,5:05.757,0,9.820,5:05.069,0,9.837,5:05.371,0,9.724,5:05.365,0,12.309,5:08.811
0,13.493,5:19.002,0,,,0,10.346,5:16.102,0,9.481,5:14.550,0,9.426,5:14.797,0,9.085,5:14.450,0,13.263,5:22.074
0,14.113,5:33.115,0,,,0,11.015,5:27.117,0,9.400,5:23.950,0,9.257,5:24.053,0,9.318,5:23.768,0,15.259,5:37.333
0,,,0,,,0,,,0,,,0,,,0,,,0,,
