Apolo Anton OHNO POSITION,Apolo Anton OHNO LAP TIME,Apolo Anton OHNO ELAPSED TIME,Sebastian PRAUS POSITION,Sebastian PRAUS LAP TIME,Sebastian PRAUS ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Olivier JEAN POSITION,Olivier JEAN LAP TIME,Olivier JEAN ELAPSED TIME,Haralds SILOVS POSITION,Haralds SILOVS LAP TIME,Haralds SILOVS ELAPSED TIME
1,8.90,8.90,3,9.01,9.01,2,9.00,9.00,6,9.27,9.27,5,9.11,9.11,4,9.04,9.04
3,11.90,20.80,4,11.90,20.91,1,11.36,20.36,6,11.87,21.14,5,11.93,21.04,2,11.54,20.58
3,11.18,31.98,5,11.22,32.13,1,11.29,31.65,4,10.97,32.11,6,11.15,32.19,2,11.26,31.84
4,10.63,42.61,5,10.62,42.75,1,10.69,42.34,3,10.39,42.50,6,10.66,42.85,2,10.58,42.42
4,10.96,53.57,5,10.93,53.68,1,10.78,53.12,3,10.88,53.38,6,10.91,53.76,2,10.85,53.27
4,10.65,1:04.22,5,10.65,1:04.33,1,10.78,1:03.90,3,10.74,1:04.12,6,10.63,1:04.39,2,10.75,1:04.02
4,10.66,1:14.88,6,10.70,1:15.03,2,10.61,1:14.51,3,10.62,1:14.74,5,10.62,1:15.01,1,10.47,1:14.49
4,9.91,1:24.79,6,9.96,1:24.99,2,10.10,1:24.61,3,9.97,1:24.71,5,9.86,1:24.87,1,9.97,1:24.46
3,10.15,1:34.94,6,10.37,1:35.36,2,10.27,1:34.88,4,10.27,1:34.98,5,10.32,1:35.19,1,10.27,1:34.73
3,9.64,1:44.58,6,9.62,1:44.98,2,9.60,1:44.48,4,9.66,1:44.64,5,9.64,1:44.83,1,9.64,1:44.37
3,9.30,1:53.88,6,9.35,1:54.33,2,9.33,1:53.81,4,9.40,1:54.04,5,9.38,1:54.21,1,9.35,1:53.72
3,9.17,2:03.05,6,9.08,2:03.41,2,9.23,2:03.04,4,9.12,2:03.16,5,8.97,2:03.18,1,9.20,2:02.92
1,9.07,2:12.12,6,9.22,2:12.63,4,9.36,2:12.40,5,9.27,2:12.43,3,9.17,2:12.35,2,9.25,2:12.17
1,9.18,2:21.299,5,9.40,2:22.029,6,9.66,2:22.060,4,9.15,2:21.579,2,9.10,2:21.449,3,9.30,2:21.464
