Katalin KRISTO POSITION,Katalin KRISTO LAP TIME,Katalin KRISTO ELAPSED TIME,Yulyia YELSAKOVA POSITION,Yulyia YELSAKOVA LAP TIME,Yulyia YELSAKOVA ELAPSED TIME,Patricia TOTH POSITION,Patricia TOTH LAP TIME,Patricia TOTH ELAPSED TIME,Sanne van KERKHOF POSITION,Sanne van KERKHOF LAP TIME,Sanne van KERKHOF ELAPSED TIME
1,13.50,13.50,4,19.03,19.03,3,15.11,15.11,2,14.01,14.01
3,10.27,23.78,1,4.27,23.31,2,8.61,23.72,4,10.23,24.24
1,10.16,33.94,4,14.96,38.27,2,10.30,34.02,3,10.02,34.27
3,10.49,44.43,1,6.09,44.37,2,10.35,44.37,4,10.32,44.59
2,10.53,54.96,1,10.58,54.95,3,10.70,55.08,4,10.68,55.28
2,10.29,1:05.26,1,10.14,1:05.09,3,10.35,1:05.44,4,10.38,1:05.67
1,10.36,1:15.63,2,10.85,1:15.95,3,10.57,1:16.01,4,10.47,1:16.14
1,10.32,1:25.95,4,11.09,1:27.04,3,10.88,1:26.89,2,10.41,1:26.55
1,10.66,1:36.610,4,11.50,1:38.534,3,10.84,1:37.721,2,10.77,1:37.314
