CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME,Daniel ZETZSCHE POSITION,Daniel ZETZSCHE LAP TIME,Daniel ZETZSCHE ELAPSED TIME,Dmytro POLTAVETS POSITION,Dmytro POLTAVETS LAP TIME,Dmytro POLTAVETS ELAPSED TIME,Armstrong LAZENBY POSITION,Armstrong LAZENBY LAP TIME,Armstrong LAZENBY ELAPSED TIME,Azamat SULTANALIYEV POSITION,Azamat SULTANALIYEV LAP TIME,Azamat SULTANALIYEV ELAPSED TIME
3,10.33,10.33,1,9.88,9.88,2,10.06,10.06,4,10.47,10.47,5,10.69,10.69
3,13.50,23.83,1,13.62,23.50,2,13.60,23.66,4,13.54,24.01,5,13.46,24.15
3,12.69,36.52,1,12.76,36.26,2,12.73,36.39,4,12.60,36.61,5,12.62,36.77
3,12.47,48.99,1,12.46,48.72,2,12.46,48.85,4,12.49,49.10,5,12.50,49.27
3,12.38,1:01.37,1,12.33,1:01.05,2,12.35,1:01.20,4,12.44,1:01.54,5,12.40,1:01.67
3,12.31,1:13.68,1,12.34,1:13.39,2,12.32,1:13.52,4,12.21,1:13.75,5,12.21,1:13.88
2,11.72,1:25.40,1,11.92,1:25.31,3,11.91,1:25.43,4,11.81,1:25.56,5,11.85,1:25.73
1,10.30,1:35.70,2,10.46,1:35.77,5,24.31,1:49.74,3,11.35,1:36.91,4,11.28,1:37.01
2,10.38,1:46.08,1,10.17,1:45.94,5,12.63,2:02.37,3,11.22,1:48.13,4,11.21,1:48.22
2,9.95,1:56.03,1,10.01,1:55.95,5,10.47,2:12.84,3,12.33,2:00.46,4,12.34,2:00.56
2,10.45,2:06.48,1,10.42,2:06.37,5,10.40,2:23.24,4,11.41,2:11.87,3,11.17,2:11.73
1,10.38,2:16.86,2,10.59,2:16.96,5,10.52,2:33.76,4,10.05,2:21.92,3,10.15,2:21.88
1,10.12,2:26.98,2,10.28,2:27.24,5,10.61,2:44.37,4,10.30,2:32.22,3,10.34,2:32.22
1,10.09,2:37.067,2,10.45,2:37.689,5,11.15,2:55.512,3,9.58,2:41.801,4,10.35,2:42.565
