KIKUCHI Sumire POSITION,KIKUCHI Sumire LAP TIME,KIKUCHI Sumire ELAPSED TIME,April SHIN POSITION,April SHIN LAP TIME,April SHIN ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,SIGHEL Arianna POSITION,SIGHEL Arianna LAP TIME,SIGHEL Arianna ELAPSED TIME,SARAULT Courtney Lee POSITION,SARAULT Courtney Lee LAP TIME,SARAULT Courtney Lee ELAPSED TIME
1,8.78,8.78,3,9.05,9.05,5,9.15,9.15,2,8.92,8.92,4,9.11,9.11
1,12.28,21.06,3,12.29,21.34,4,12.28,21.43,2,12.28,21.20,5,12.41,21.52
1,11.65,32.71,3,11.64,32.98,4,11.72,33.15,2,11.65,32.85,5,11.78,33.30
1,11.44,44.15,3,11.43,44.41,4,11.34,44.49,2,11.42,44.27,5,11.21,44.51
1,11.03,55.18,4,11.13,55.54,5,11.14,55.63,2,11.03,55.30,3,10.88,55.39
1,10.92,1:06.10,5,10.89,1:06.43,4,10.71,1:06.34,2,10.89,1:06.19,3,10.88,1:06.27
1,10.70,1:16.80,5,10.78,1:17.21,4,10.73,1:17.07,2,10.71,1:16.90,3,10.73,1:17.00
1,10.59,1:27.39,5,10.65,1:27.86,4,10.64,1:27.71,2,10.61,1:27.51,3,10.62,1:27.62
1,10.36,1:37.75,5,10.37,1:38.23,4,10.38,1:38.09,2,10.33,1:37.84,3,10.37,1:37.99
1,9.96,1:47.71,5,9.97,1:48.20,4,9.96,1:48.05,2,9.95,1:47.79,3,9.90,1:47.89
1,9.60,1:57.31,5,9.79,1:57.99,4,9.93,1:57.98,3,9.58,1:57.37,2,9.45,1:57.34
1,9.64,2:06.95,4,10.03,2:08.02,5,10.49,2:08.47,3,9.80,2:07.17,2,9.71,2:07.05
1,9.84,2:16.79,4,10.74,2:18.76,5,11.07,2:19.54,3,9.79,2:16.96,2,9.75,2:16.80
2,10.16,2:26.95,4,11.90,2:30.66,5,11.96,2:31.50,3,10.10,2:27.06,1,9.98,2:26.78
