Thibaut FAUCONNET POSITION,Thibaut FAUCONNET LAP TIME,Thibaut FAUCONNET ELAPSED TIME,Alexander GERTSIKOV POSITION,Alexander GERTSIKOV LAP TIME,Alexander GERTSIKOV ELAPSED TIME,Oliver HORSEPOOL POSITION,Oliver HORSEPOOL LAP TIME,Oliver HORSEPOOL ELAPSED TIME,Pieter GYSEL POSITION,Pieter GYSEL LAP TIME,Pieter GYSEL ELAPSED TIME,Jakub JAWORSKI POSITION,Jakub JAWORSKI LAP TIME,Jakub JAWORSKI ELAPSED TIME,Ingmar van RIEL POSITION,Ingmar van RIEL LAP TIME,Ingmar van RIEL ELAPSED TIME,David Mano LOTH POSITION,David Mano LOTH LAP TIME,David Mano LOTH ELAPSED TIME
2,8.02,8.02,5,8.31,8.31,7,8.51,8.51,1,7.93,7.93,6,8.40,8.40,4,8.28,8.28,3,8.24,8.24
1,11.06,19.08,6,11.09,19.40,7,11.08,19.59,3,11.20,19.13,5,10.95,19.35,4,10.87,19.15,2,10.87,19.12
4,10.83,29.92,5,10.77,30.18,6,10.63,30.23,3,10.77,29.91,7,11.14,30.50,1,10.45,29.61,2,10.59,29.72
4,10.34,40.26,5,10.30,40.48,6,10.40,40.63,3,10.32,40.24,7,10.32,40.82,2,10.60,40.22,1,10.36,40.08
2,10.34,50.61,5,10.42,50.90,6,10.41,51.04,4,10.43,50.67,7,10.37,51.20,1,10.18,50.40,3,10.56,50.65
2,9.64,1:00.26,5,9.43,1:00.34,3,9.26,1:00.31,6,9.79,1:00.47,7,9.67,1:00.88,1,9.66,1:00.06,4,9.68,1:00.33
6,9.64,1:09.91,3,9.29,1:09.63,5,9.41,1:09.73,4,9.17,1:09.64,7,9.19,1:10.07,1,9.35,1:09.42,2,9.26,1:09.60
6,9.47,1:19.38,1,9.43,1:19.06,3,9.53,1:19.26,4,9.64,1:19.28,7,9.61,1:19.69,5,9.87,1:19.30,2,9.56,1:19.17
3,9.73,1:29.12,1,9.73,1:28.80,2,9.83,1:29.10,6,22.63,1:41.92,7,32.40,1:52.10,4,10.22,1:29.53,5,11.06,1:30.24
2,10.19,1:39.31,1,9.77,1:38.58,3,10.40,1:39.50,6,17.04,1:58.96,0,,,5,18.61,1:48.14,4,17.52,1:47.76
3,10.87,1:50.18,1,9.78,1:48.36,2,9.31,1:48.82,6,8.16,2:07.13,0,,,5,15.08,2:03.22,4,13.70,2:01.47
3,11.99,2:02.18,2,10.73,1:59.09,1,1.93,1:50.75,6,12.06,2:19.19,0,,,4,9.36,2:12.59,5,11.30,2:12.77
3,12.18,2:14.37,2,11.15,2:10.25,1,12.02,2:02.77,6,17.62,2:36.81,0,,,4,10.95,2:23.55,5,10.96,2:23.73
0,,DQ,1,10.83,2:21.071,2,23.57,2:26.335,0,,DNF,0,,DNF,4,22.65,2:46.191,3,10.92,2:34.650
