Zachary BIGGS POSITION,Zachary BIGGS LAP TIME,Zachary BIGGS ELAPSED TIME,Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,Nurbergen ZHUMAGAZIYEV POSITION,Nurbergen ZHUMAGAZIYEV LAP TIME,Nurbergen ZHUMAGAZIYEV ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME,VANHOOREN Rino POSITION,VANHOOREN Rino LAP TIME,VANHOOREN Rino ELAPSED TIME
2,13.36,13.36,1,13.27,13.27,5,13.72,13.72,3,13.47,13.47,4,13.53,13.53
2,10.19,23.55,1,10.19,23.46,4,10.06,23.78,3,10.22,23.69,4,10.25,23.78
2,9.85,33.40,1,9.82,33.28,3,9.72,33.50,3,9.81,33.50,5,9.90,33.68
3,9.51,42.91,1,9.39,42.67,2,9.31,42.81,4,9.53,43.03,5,9.48,43.16
3,9.25,52.16,1,9.25,51.92,2,9.24,52.05,4,9.25,52.28,5,9.19,52.35
3,9.14,1:01.30,1,9.17,1:01.09,2,9.14,1:01.19,4,9.05,1:01.33,5,9.18,1:01.53
3,9.03,1:10.33,2,9.17,1:10.26,1,8.96,1:10.15,4,9.14,1:10.47,5,9.15,1:10.68
4,9.31,1:19.64,2,9.15,1:19.41,1,9.07,1:19.22,3,9.02,1:19.49,5,9.17,1:19.85
4,,1:29.051,3,9.46,1:28.87,1,9.33,1:28.55,2,9.17,1:28.66,5,,1:29.074
