Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,Fabrice DUFBERG SUH POSITION,Fabrice DUFBERG SUH LAP TIME,Fabrice DUFBERG SUH ELAPSED TIME,Oliver RINGER POSITION,Oliver RINGER LAP TIME,Oliver RINGER ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME
4,13.85,13.85,2,13.56,13.56,3,13.70,13.70,1,13.47,13.47
4,9.86,23.71,2,9.89,23.45,3,9.85,23.55,1,9.85,23.32
4,9.53,33.24,2,9.51,32.96,3,9.55,33.10,1,9.55,32.87
4,9.44,42.68,2,9.43,42.39,3,9.44,42.54,1,9.42,42.29
3,9.30,51.98,2,9.46,51.85,4,9.63,52.17,1,9.51,51.80
2,9.47,1:01.45,1,9.39,1:01.24,4,9.84,1:02.01,3,9.84,1:01.64
2,9.72,1:11.17,1,9.45,1:10.69,4,10.26,1:12.27,3,9.67,1:11.31
2,9.93,1:21.10,1,9.60,1:20.29,4,10.77,1:23.04,3,9.88,1:21.19
3,10.69,1:31.764,1,9.71,1:29.980,4,11.06,1:34.077,2,10.04,1:31.215
