MALAGICH Emina POSITION,MALAGICH Emina LAP TIME,MALAGICH Emina ELAPSED TIME,Andrea KESZLER POSITION,Andrea KESZLER LAP TIME,Andrea KESZLER ELAPSED TIME,Patrycja MALISZEWSKA POSITION,Patrycja MALISZEWSKA LAP TIME,Patrycja MALISZEWSKA ELAPSED TIME,van RUIJVEN Lara POSITION,van RUIJVEN Lara LAP TIME,van RUIJVEN Lara ELAPSED TIME
4,13.59,13.59,1,13.28,13.28,3,13.48,13.48,2,13.39,13.39
3,10.56,24.15,1,10.67,23.95,4,10.74,24.22,2,10.65,24.04
3,10.57,34.72,1,10.57,34.52,2,10.41,34.63,4,10.84,34.88
3,10.38,45.10,1,10.41,44.93,2,10.38,45.01,4,10.32,45.20
3,10.01,55.11,1,10.07,55.00,2,10.07,55.08,4,10.02,55.22
1,9.38,1:04.49,3,9.61,1:04.61,4,9.72,1:04.80,2,9.39,1:04.61
1,9.33,1:13.82,3,9.54,1:14.15,4,9.38,1:14.18,2,9.32,1:13.93
1,9.48,1:23.30,4,10.09,1:24.24,3,9.61,1:23.79,2,9.46,1:23.39
1,9.73,1:33.027,3,10.77,1:35.006,0,,PEN,2,9.72,1:33.108
