Pierre BODA POSITION,Pierre BODA LAP TIME,Pierre BODA ELAPSED TIME,WOLFGANG Matthias POSITION,WOLFGANG Matthias LAP TIME,WOLFGANG Matthias ELAPSED TIME,SCHUBERT Christoph POSITION,SCHUBERT Christoph LAP TIME,SCHUBERT Christoph ELAPSED TIME,DION Pascal POSITION,DION Pascal LAP TIME,DION Pascal ELAPSED TIME,DOTTI Tommaso POSITION,DOTTI Tommaso LAP TIME,DOTTI Tommaso ELAPSED TIME,SHI Jingnan POSITION,SHI Jingnan LAP TIME,SHI Jingnan ELAPSED TIME
3,10.66,10.66,6,11.01,11.01,5,10.87,10.87,4,10.80,10.80,1,10.57,10.57,2,10.65,10.65
3,13.29,23.95,6,13.29,24.30,4,13.23,24.10,5,13.39,24.19,2,13.28,23.85,1,13.10,23.75
4,12.26,36.21,6,12.19,36.49,5,12.26,36.36,2,11.72,35.91,3,12.19,36.04,1,12.15,35.90
4,10.54,46.75,6,10.49,46.98,5,10.53,46.89,1,10.50,46.41,3,10.60,46.64,2,10.64,46.54
4,10.28,57.03,6,10.30,57.28,5,10.27,57.16,1,10.28,56.69,3,10.23,56.87,2,10.23,56.77
4,10.01,1:07.04,6,10.01,1:07.29,5,9.97,1:07.13,1,10.02,1:06.71,3,10.06,1:06.93,2,10.08,1:06.85
4,9.88,1:16.92,6,9.85,1:17.14,5,9.89,1:17.02,1,9.92,1:16.63,3,9.87,1:16.80,2,9.85,1:16.70
4,9.64,1:26.56,6,9.84,1:26.98,5,9.65,1:26.67,1,9.64,1:26.27,3,9.64,1:26.44,2,9.64,1:26.34
4,9.63,1:36.19,6,9.49,1:36.47,5,9.62,1:36.29,1,9.60,1:35.87,3,9.63,1:36.07,2,9.62,1:35.96
4,9.17,1:45.36,6,9.55,1:46.02,5,9.18,1:45.47,2,9.23,1:45.10,3,9.13,1:45.20,1,9.08,1:45.04
4,9.02,1:54.38,6,9.84,1:55.86,5,9.01,1:54.48,2,9.10,1:54.20,3,9.10,1:54.30,1,9.08,1:54.12
4,9.16,2:03.54,6,10.17,2:06.03,5,9.15,2:03.63,2,9.09,2:03.29,3,9.09,2:03.39,1,9.11,2:03.23
5,9.22,2:12.76,6,10.52,2:16.55,4,9.01,2:12.64,2,9.11,2:12.40,3,9.04,2:12.43,1,9.13,2:12.36
5,9.44,2:22.20,6,10.66,2:27.21,4,9.16,2:21.80,0,,PHOTO,3,9.32,2:21.75,0,,PHOTO
