Steve ROBILLARD POSITION,Steve ROBILLARD LAP TIME,Steve ROBILLARD ELAPSED TIME,Elliott SHRIANE POSITION,Elliott SHRIANE LAP TIME,Elliott SHRIANE ELAPSED TIME,LI Ye POSITION,LI Ye LAP TIME,LI Ye ELAPSED TIME,J P KEPKA POSITION,J P KEPKA LAP TIME,J P KEPKA ELAPSED TIME
4,7.218,7.218,2,6.797,6.797,1,6.751,6.751,3,7.094,7.094
4,9.000,16.218,1,9.147,15.943,2,9.239,15.989,3,8.956,16.050
3,8.920,25.137,4,9.239,25.182,1,8.769,24.758,2,8.898,24.948
3,9.006,34.143,4,9.560,34.742,2,9.252,34.009,1,9.011,33.958
3,9.60,43.740,4,10.10,44.835,2,9.49,43.495,1,9.42,43.376
