Sinead FOGARTY POSITION,Sinead FOGARTY LAP TIME,Sinead FOGARTY ELAPSED TIME,Ann Veronique MICHAUD POSITION,Ann Veronique MICHAUD LAP TIME,Ann Veronique MICHAUD ELAPSED TIME,PENCHEVA Zornica POSITION,PENCHEVA Zornica LAP TIME,PENCHEVA Zornica ELAPSED TIME,Ekaterina BARANOK POSITION,Ekaterina BARANOK LAP TIME,Ekaterina BARANOK ELAPSED TIME,CHUNG Hsiao-Ying POSITION,CHUNG Hsiao-Ying LAP TIME,CHUNG Hsiao-Ying ELAPSED TIME
5,10.70,10.70,2,10.42,10.42,4,10.54,10.54,1,10.41,10.41,3,10.53,10.53
4,15.00,25.70,2,14.98,25.40,3,15.03,25.57,1,14.90,25.31,5,15.20,25.73
1,12.07,37.77,3,12.60,38.00,4,12.55,38.12,2,12.56,37.87,5,12.51,38.24
1,11.57,49.34,3,11.52,49.52,5,11.58,49.70,2,11.56,49.43,4,11.38,49.62
1,11.87,1:01.21,3,11.86,1:01.38,5,11.83,1:01.53,2,11.84,1:01.27,4,11.85,1:01.47
1,12.07,1:13.28,3,12.08,1:13.46,5,12.10,1:13.63,2,12.11,1:13.38,4,12.07,1:13.54
3,12.13,1:25.41,2,11.89,1:25.35,5,12.04,1:25.67,1,11.89,1:25.27,4,11.96,1:25.50
4,11.11,1:36.52,2,11.06,1:36.41,5,10.98,1:36.65,1,11.04,1:36.31,3,11.01,1:36.51
4,10.22,1:46.74,2,10.08,1:46.49,5,10.37,1:47.02,1,10.06,1:46.37,3,10.06,1:46.57
4,10.13,1:56.87,2,10.15,1:56.64,5,10.64,1:57.66,1,10.18,1:56.55,3,10.16,1:56.73
4,10.30,2:07.17,2,10.25,2:06.89,5,11.11,2:08.77,1,10.24,2:06.79,3,10.30,2:07.03
4,10.10,2:17.27,2,10.02,2:16.91,5,11.52,2:20.29,1,10.06,2:16.85,3,10.05,2:17.08
4,10.52,2:27.79,2,10.28,2:27.19,5,12.17,2:32.46,1,10.19,2:27.04,3,10.31,2:27.39
4,11.00,2:38.787,2,10.37,2:37.559,5,12.77,2:45.225,1,10.46,2:37.496,3,10.72,2:38.106
