Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Richard SHOEBRIDGE POSITION,Richard SHOEBRIDGE LAP TIME,Richard SHOEBRIDGE ELAPSED TIME,Maarten SLEMBROUCK POSITION,Maarten SLEMBROUCK LAP TIME,Maarten SLEMBROUCK ELAPSED TIME,Freek van der WART POSITION,Freek van der WART LAP TIME,Freek van der WART ELAPSED TIME
1,12.96,12.96,2,13.07,13.07,4,13.15,13.15,3,13.13,13.13
1,9.89,22.85,3,9.91,22.98,4,9.98,23.13,2,9.81,22.94
1,9.75,32.60,3,9.82,32.80,4,9.88,33.01,2,9.74,32.68
4,10.08,42.68,1,9.26,42.06,3,9.48,42.49,2,9.48,42.16
4,9.44,52.12,1,9.11,51.17,3,9.38,51.87,2,9.10,51.26
3,9.45,1:01.57,1,9.38,1:00.55,4,9.83,1:01.70,2,9.37,1:00.63
3,9.61,1:11.18,1,9.59,1:10.14,4,9.94,1:11.64,2,9.59,1:10.22
3,9.90,1:21.08,1,9.84,1:19.98,4,10.29,1:21.93,2,9.88,1:20.10
3,10.41,1:31.483,2,10.04,1:30.020,4,10.66,1:32.588,1,9.67,1:29.768
