JONG Kwang Bom POSITION,JONG Kwang Bom LAP TIME,JONG Kwang Bom ELAPSED TIME,Edin BRANKOVIC POSITION,Edin BRANKOVIC LAP TIME,Edin BRANKOVIC ELAPSED TIME,WATANABE Keita POSITION,WATANABE Keita LAP TIME,WATANABE Keita ELAPSED TIME,FERCOQ Quentin POSITION,FERCOQ Quentin LAP TIME,FERCOQ Quentin ELAPSED TIME,TREACY Ethan POSITION,TREACY Ethan LAP TIME,TREACY Ethan ELAPSED TIME
1,6.95,6.95,4,7.39,7.39,2,7.07,7.07,3,7.22,7.22,5,7.46,7.46
2,9.05,16.00,5,9.44,16.83,1,8.81,15.88,3,8.90,16.12,4,9.24,16.70
2,8.42,24.42,5,8.87,25.70,1,8.38,24.26,3,8.38,24.50,4,8.68,25.38
3,8.58,33.00,5,8.95,34.65,1,8.49,32.75,2,8.47,32.97,4,8.79,34.17
5,32.87,1:05.87,4,9.18,43.83,1,8.78,41.53,2,9.24,42.21,3,9.01,43.18
