John-Henry KRUEGER POSITION,John-Henry KRUEGER LAP TIME,John-Henry KRUEGER ELAPSED TIME,Oleksiy KOSHELENKO POSITION,Oleksiy KOSHELENKO LAP TIME,Oleksiy KOSHELENKO ELAPSED TIME,Minto SEKAI POSITION,Minto SEKAI LAP TIME,Minto SEKAI ELAPSED TIME,Selim TANRIKULU POSITION,Selim TANRIKULU LAP TIME,Selim TANRIKULU ELAPSED TIME
2,7.34,7.34,1,7.03,7.03,3,7.37,7.37,4,7.48,7.48
2,9.06,16.40,1,9.17,16.20,3,9.32,16.69,4,9.36,16.84
1,8.56,24.96,2,8.95,25.15,3,8.57,25.26,4,8.89,25.73
1,8.99,33.95,2,9.29,34.44,3,9.19,34.45,4,9.06,34.79
1,9.21,43.159,3,9.50,43.935,2,9.24,43.689,4,9.30,44.083
