Paul WORTH POSITION,Paul WORTH LAP TIME,Paul WORTH ELAPSED TIME,Roberto SERRA POSITION,Roberto SERRA LAP TIME,Roberto SERRA ELAPSED TIME,LEE Jung Su POSITION,LEE Jung Su LAP TIME,LEE Jung Su ELAPSED TIME,Gabor GALAMBOS POSITION,Gabor GALAMBOS LAP TIME,Gabor GALAMBOS ELAPSED TIME
3,13.04,13.04,1,12.79,12.79,4,14.23,14.23,2,12.80,12.80
1,10.18,23.22,2,10.49,23.28,4,9.32,23.56,3,10.55,23.36
2,10.07,33.30,1,9.56,32.85,4,10.07,33.63,3,9.97,33.33
3,9.94,43.24,1,10.22,43.07,4,9.67,43.30,2,9.84,43.18
4,9.60,52.84,2,9.56,52.64,3,9.36,52.67,1,9.38,52.56
4,9.25,1:02.10,3,9.32,1:01.96,2,9.13,1:01.80,1,9.22,1:01.79
4,9.57,1:11.67,3,9.11,1:11.08,1,9.15,1:10.95,2,9.25,1:11.04
4,9.76,1:21.44,3,9.43,1:20.51,1,9.44,1:20.40,2,9.43,1:20.47
4,10.33,1:31.767,3,10.12,1:30.629,1,9.81,1:30.210,2,9.84,1:30.302
