Yuzo TAKAMIDO POSITION,Yuzo TAKAMIDO LAP TIME,Yuzo TAKAMIDO ELAPSED TIME,HAN Tianyu POSITION,HAN Tianyu LAP TIME,HAN Tianyu ELAPSED TIME,Shaolin Sandor LIU POSITION,Shaolin Sandor LIU LAP TIME,Shaolin Sandor LIU ELAPSED TIME,LEPAPE Sebastien POSITION,LEPAPE Sebastien LAP TIME,LEPAPE Sebastien ELAPSED TIME,Francois HAMELIN POSITION,Francois HAMELIN LAP TIME,Francois HAMELIN ELAPSED TIME,LEE Han-Bin POSITION,LEE Han-Bin LAP TIME,LEE Han-Bin ELAPSED TIME,CHEN Dequan POSITION,CHEN Dequan LAP TIME,CHEN Dequan ELAPSED TIME
2,9.23,9.23,3,9.34,9.34,4,9.48,9.48,5,9.61,9.61,6,9.66,9.66,1,9.19,9.19,7,9.80,9.80
2,12.61,21.84,5,12.66,22.00,6,12.69,22.17,7,12.77,22.38,4,12.33,21.99,3,12.72,21.91,1,12.03,21.83
2,11.14,32.98,5,11.38,33.38,6,11.31,33.48,7,11.27,33.65,3,11.13,33.12,4,11.31,33.22,1,11.04,32.87
2,10.90,43.88,5,10.68,44.06,6,10.74,44.22,7,10.72,44.37,3,10.83,43.95,4,10.74,43.96,1,10.91,43.78
1,10.21,54.09,5,10.36,54.42,6,10.40,54.62,7,10.45,54.82,4,10.39,54.34,3,10.34,54.30,2,10.45,54.23
2,10.22,1:04.31,5,10.22,1:04.64,6,10.15,1:04.77,7,10.07,1:04.89,3,10.06,1:04.40,4,10.20,1:04.50,1,10.00,1:04.23
4,10.45,1:14.76,2,9.98,1:14.62,6,10.26,1:15.03,7,10.24,1:15.13,5,10.50,1:14.90,1,9.95,1:14.45,3,10.43,1:14.66
4,9.51,1:24.27,2,9.46,1:24.08,6,9.51,1:24.54,7,9.50,1:24.63,5,9.50,1:24.40,1,9.51,1:23.96,3,9.52,1:24.18
4,9.28,1:33.55,2,9.27,1:33.35,6,9.22,1:33.76,7,9.24,1:33.87,5,9.25,1:33.65,1,9.28,1:33.24,3,9.28,1:33.46
4,9.18,1:42.73,2,9.20,1:42.55,6,9.17,1:42.93,7,9.15,1:43.02,5,9.18,1:42.83,1,9.19,1:42.43,3,9.19,1:42.65
4,9.07,1:51.80,1,9.10,1:51.65,6,9.16,1:52.09,7,9.18,1:52.20,5,9.14,1:51.97,2,9.27,1:51.70,3,9.15,1:51.80
5,9.46,2:01.26,1,9.12,2:00.77,4,9.17,2:01.26,6,9.22,2:01.42,3,9.20,2:01.17,2,9.39,2:01.09,7,35.14,2:26.94
2,9.12,2:10.38,1,9.06,2:09.83,6,9.66,2:10.92,5,9.47,2:10.89,4,9.72,2:10.89,3,9.57,2:10.66,7,13.60,2:40.54
2,8.98,2:19.355,1,9.33,2:19.160,5,9.70,2:20.617,3,8.94,2:19.828,4,9.48,2:20.364,6,10.00,2:20.659,7,10.73,2:51.261
