Peter DARAZS POSITION,Peter DARAZS LAP TIME,Peter DARAZS ELAPSED TIME,Nicolas BEAN POSITION,Nicolas BEAN LAP TIME,Nicolas BEAN ELAPSED TIME,Ondrej SUCHY POSITION,Ondrej SUCHY LAP TIME,Ondrej SUCHY ELAPSED TIME,Serhiy LIFYRENKO POSITION,Serhiy LIFYRENKO LAP TIME,Serhiy LIFYRENKO ELAPSED TIME,AZHGALIYEV Abzal POSITION,AZHGALIYEV Abzal LAP TIME,AZHGALIYEV Abzal ELAPSED TIME,Ruslan ZAKHAROV POSITION,Ruslan ZAKHAROV LAP TIME,Ruslan ZAKHAROV ELAPSED TIME
2,8.79,8.79,1,8.69,8.69,5,8.92,8.92,6,9.04,9.04,3,8.84,8.84,4,8.87,8.87
4,11.56,20.35,2,11.54,20.23,5,11.59,20.51,6,11.62,20.66,3,11.39,20.23,1,11.18,20.05
2,10.33,30.68,3,10.58,30.81,5,10.51,31.02,6,10.41,31.07,4,10.69,30.92,1,10.52,30.57
2,10.50,41.18,3,10.50,41.31,5,10.44,41.46,6,10.55,41.62,4,10.40,41.32,1,10.50,41.07
2,10.35,51.53,4,10.43,51.74,3,10.19,51.65,6,10.34,51.96,5,10.43,51.75,1,10.34,51.41
2,10.36,1:01.89,4,10.40,1:02.14,3,10.37,1:02.02,6,10.42,1:02.38,5,10.48,1:02.23,1,10.34,1:01.75
2,10.29,1:12.18,4,10.24,1:12.38,3,10.27,1:12.29,6,10.16,1:12.54,5,10.15,1:12.38,1,10.31,1:12.06
2,10.20,1:22.38,4,10.22,1:22.60,3,10.20,1:22.49,5,10.30,1:22.84,6,10.46,1:22.84,1,10.21,1:22.27
3,10.01,1:32.39,2,9.65,1:32.25,4,10.00,1:32.49,5,9.73,1:32.57,6,10.34,1:33.18,1,9.91,1:32.18
3,9.60,1:41.99,2,9.66,1:41.91,4,9.50,1:41.99,5,9.57,1:42.14,6,10.47,1:43.65,1,9.64,1:41.82
5,10.72,1:52.71,2,9.62,1:51.53,3,9.74,1:51.73,4,9.77,1:51.91,6,11.22,1:54.87,1,9.69,1:51.51
5,10.12,2:02.83,1,9.38,2:00.91,3,9.54,2:01.27,4,9.77,2:01.68,6,11.43,2:06.30,2,9.54,2:01.05
5,10.50,2:13.33,1,9.54,2:10.45,3,9.73,2:11.00,4,10.12,2:11.80,6,11.88,2:18.18,2,9.61,2:10.66
4,11.66,2:24.985,1,9.82,2:20.268,0,,DQ,3,10.72,2:22.517,5,12.36,2:30.532,2,10.06,2:20.717
